key,representation,configuration,N,error,score,qualifies,score_status,n_raw,discrepancy_ratio,order
WDBC__10,Binned,bins_64,130,0.03861486966824701,77.15289982425307,True,qualifies,569,0.21879150082734522,6
WDBC__10,Density,density_64,130,0.04139515080240197,77.15289982425307,True,qualifies,569,0.23454454848203984,7
WDBC__10,Density,density_128,258,0.0458891482850885,54.65729349736379,True,qualifies,569,0.260007497402979,8
WDBC__10,Density,density_256,514,0.04783197063072486,9.666080843585235,True,qualifies,569,0.2710155111680033,9
WDBC__10,Observations,raw,569,0.0,0.0,True,qualifies,569,0.0,10
WDBC__10,Density,density_8,18,0.23415816301050976,0.0,False,does_not_qualify,569,1.326738024916124,11
WDBC__10,Binned,bins_4,10,0.29350806062679397,0.0,False,does_not_qualify,569,1.6630140057747067,12
WDBC__10,Means,means,2,0.35618843136378253,0.0,False,does_not_qualify,569,2.0181604170867486,13
WDBC__10,Five-number,five_number,10,1.0058799999999999,0.0,False,does_not_qualify,569,5.6993069442671205,14
WDBC__11,Means,means,2,0.21747833082141077,99.64850615114236,True,qualifies,569,0.5034420004930242,1
WDBC__11,Binned,bins_4,10,0.14794580668395274,98.24253075571178,True,qualifies,569,0.34248070876857506,2
WDBC__11,Binned,bins_8,18,0.13176928838951363,96.8365553602812,True,qualifies,569,0.30503358150580384,3
WDBC__11,Density,density_8,18,0.22384561863251506,96.8365553602812,True,qualifies,569,0.5181816764011015,4
WDBC__11,Binned,bins_16,34,0.10506722176227123,94.02460456942003,True,qualifies,569,0.24322079404627514,5
WDBC__11,Density,density_16,34,0.12132445993876217,94.02460456942003,True,qualifies,569,0.28085478028826627,6
WDBC__11,Binned,bins_32,66,0.08223389513108592,88.40070298769771,True,qualifies,569,0.19036377793024528,7
WDBC__11,Density,density_32,66,0.09000544363993579,88.40070298769771,True,qualifies,569,0.20835418604790207,8
WDBC__11,Binned,bins_64,130,0.06526733490566183,77.15289982425307,True,qualifies,569,0.15108777747028612,9
