key,family,setting,phase,p,target,recovered,normalized_absolute_error
Cleveland__04,Violin plot,256,0.75,0.5,1.2,1.0806899656813305,0.11330390133933071
Cleveland__04,Violin plot,256,0.75,0.75,1.475,1.4357955877312434,0.03723084051674416
Cleveland__04,Violin plot,256,0.75,0.9,1.7999999999999998,1.7286034934665389,0.06780236698812438
Wrist__00,Bar chart,means,0.0,0.1,5.5476126164293476,3.3716503462726166,0.07322548232743568
Wrist__00,Bar chart,means,0.0,0.25,5.415924667648142,3.3716503462726166,0.06879391947431697
Wrist__00,Bar chart,means,0.0,0.5,5.109422510279856,3.3716503462726166,0.058479508872852026
Wrist__00,Bar chart,means,0.0,0.75,3.832620694236965,3.3716503462726166,0.015512574152264131
Wrist__00,Bar chart,means,0.0,0.9,2.0296044841061587,3.3716503462726166,0.04516252736110162
Wrist__00,Bar chart,means,0.25,0.1,5.5476126164293476,4.4955337950301555,0.0354045565035863
Wrist__00,Bar chart,means,0.25,0.25,5.415924667648142,4.4955337950301555,0.030972993650467583
Wrist__00,Bar chart,means,0.25,0.5,5.109422510279856,4.4955337950301555,0.02065858304900264
Wrist__00,Bar chart,means,0.25,0.75,3.832620694236965,4.4955337950301555,0.022308351671585253
Wrist__00,Bar chart,means,0.25,0.9,2.0296044841061587,4.4955337950301555,0.082983453184951
Wrist__00,Bar chart,means,0.5,0.1,5.5476126164293476,3.3716503462726024,0.07322548232743617
Wrist__00,Bar chart,means,0.5,0.25,5.415924667648142,3.3716503462726024,0.06879391947431744
Wrist__00,Bar chart,means,0.5,0.5,5.109422510279856,3.3716503462726024,0.058479508872852505
Wrist__00,Bar chart,means,0.5,0.75,3.832620694236965,3.3716503462726024,0.015512574152264608
Wrist__00,Bar chart,means,0.5,0.9,2.0296044841061587,3.3716503462726024,0.04516252736110114
Wrist__00,Bar chart,means,0.75,0.1,5.5476126164293476,3.3716503462726024,0.07322548232743617
Wrist__00,Bar chart,means,0.75,0.25,5.415924667648142,3.3716503462726024,0.06879391947431744
Wrist__00,Bar chart,means,0.75,0.5,5.109422510279856,3.3716503462726024,0.058479508872852505
Wrist__00,Bar chart,means,0.75,0.75,3.832620694236965,3.3716503462726024,0.015512574152264608
Wrist__00,Bar chart,means,0.75,0.9,2.0296044841061587,3.3716503462726024,0.04516252736110114
BIDMC__00,Violin plot,128,0.0,0.1,-2.1295701018656246,-1.6023300862510723,0.0426536725047042
BIDMC__00,Violin plot,128,0.0,0.25,-0.9833679833679838,-1.1805378866354062,0.01595102843616697
BIDMC__00,Violin plot,128,0.0,0.5,-0.8653999343473089,-0.6153065401885698,0.020232534356488117
BIDMC__00,Violin plot,128,0.0,0.75,-0.27390852390851705,-0.4363830759827749,0.013144177470001248
BIDMC__00,Violin plot,128,0.0,0.9,-0.0893970893970959,-0.19668122973503444,0.008679277845763065
BIDMC__00,Violin plot,128,0.25,0.1,-2.1295701018656246,-1.6213160881408584,0.041117706563582115
BIDMC__00,Violin plot,128,0.25,0.25,-0.9833679833679838,-1.1824537600698193,0.01610602243436847
BIDMC__00,Violin plot,128,0.25,0.5,-0.8653999343473089,-0.6273418759379865,0.019258876716065253
BIDMC__00,Violin plot,128,0.25,0.75,-0.27390852390851705,-0.46447186569675125,0.015416558173345538
BIDMC__00,Violin plot,128,0.25,0.9,-0.0893970893970959,-0.23459976267589866,0.011746883941695022
BIDMC__00,Violin plot,128,0.5,0.1,-2.1295701018656246,-1.615704983989005,0.041571644413128626
BIDMC__00,Violin plot,128,0.5,0.25,-0.9833679833679838,-1.173791762075325,0.015405267531949103
BIDMC__00,Violin plot,128,0.5,0.5,-0.8653999343473089,-0.6062800383764966,0.02096277758680613
BIDMC__00,Violin plot,128,0.5,0.75,-0.27390852390851705,-0.43014448328072774,0.012639475850012877
BIDMC__00,Violin plot,128,0.5,0.9,-0.0893970893970959,-0.18545864806108625,0.007771371941049203
BIDMC__00,Violin plot,128,0.75,0.1,-2.1295701018656246,-1.5977380748568777,0.04302516583666905
BIDMC__00,Violin plot,128,0.75,0.25,-0.9833679833679838,-1.1805412328161964,0.015951299141908834
BIDMC__00,Violin plot,128,0.75,0.5,-0.8653999343473089,-0.6142151004269749,0.020320831740546528
BIDMC__00,Violin plot,128,0.75,0.75,-0.27390852390851705,-0.44747516125492837,0.01404152622688803
BIDMC__00,Violin plot,128,0.75,0.9,-0.0893970893970959,-0.1896122572001957,0.008107398567794548
