key,H,primary,best_score,families,n_tied
HAR__16,128,True,92.80557235916044,Heatmap,1
HAR__16,256,True,96.7866203118535,Heatmap,1
HAR__16,512,True,96.39883307018277,Heatmap,1
HAR__17,128,True,90.87718448215274,Histogram,1
HAR__17,256,True,91.8932802177808,Dot plot,1
HAR__17,512,True,94.87208224682529,Histogram,1
HAR__18,128,True,93.57947811710221,Dot plot,1
HAR__18,256,True,93.93617207681456,Dot plot,1
HAR__18,512,True,97.68020462164587,Dot plot,1
HAR__19,128,True,90.98235309382281,Histogram,1
HAR__19,256,True,85.86029585496466,Violin plot,1
HAR__19,512,True,91.42881563670007,Histogram,1
HAR__20,128,True,94.08482196941188,Dot plot,1
HAR__20,256,True,93.68863441084294,Heatmap,1
HAR__20,512,True,93.68863441084294,Heatmap,1
HAR__21,128,True,91.27185747643345,Heatmap,1
HAR__21,256,True,90.40047416610146,Violin plot,1
HAR__21,512,True,91.43384607637896,Histogram,1
HAR__22,128,True,93.17830889354354,Dot plot,1
HAR__22,256,True,95.27498006751175,Dot plot,1
HAR__22,512,True,95.66164730898177,Dot plot,1
HAR__23,128,True,93.06972651175585,Histogram,1
HAR__23,256,True,93.54536498137264,Histogram,1
HAR__23,512,True,93.5470103422448,Histogram,1
HAR__24,128,True,96.12864659712156,Heatmap,1
HAR__24,256,True,97.00286247889046,Heatmap,1
HAR__24,512,True,97.00286247889046,Heatmap,1
HAR__25,128,True,95.9210974138952,Histogram,1
HAR__25,256,True,95.20820861260063,Histogram,1
HAR__25,512,True,96.79283241950084,Histogram,1
HAR__26,128,True,95.59444968237624,Dot plot,1
HAR__26,256,True,95.14597231673156,Histogram,1
HAR__26,512,True,94.98765075400122,Heatmap,1
HAR__27,128,True,93.7973947203331,Heatmap,1
HAR__27,256,True,95.37373575554696,Heatmap,1
HAR__27,512,True,95.4482150150813,Heatmap,1
HAR__28,128,True,95.5866206781614,Heatmap,1
HAR__28,256,True,94.84994646075931,Dot plot,1
HAR__28,512,True,96.16748063961168,Histogram,1
HAR__29,128,True,95.31784539954582,Histogram,1
HAR__29,256,True,94.96043083200547,Histogram,1
HAR__29,512,True,94.63151963590484,Histogram,1
HAR__30,128,True,90.99230252318458,Histogram,1
HAR__30,256,True,93.4595336391185,Dot plot,1
HAR__30,512,True,95.3891670870575,Dot plot,1
HAR__31,128,True,93.9162403794256,Histogram,1
HAR__31,256,True,94.79862060227964,Histogram,1
HAR__31,512,True,95.78246306214241,Dot plot,1
HAR__32,128,True,90.99230252318458,Histogram,1
HAR__32,256,True,93.4595336391185,Dot plot,1
HAR__32,512,True,95.3891670870575,Dot plot,1
HAR__33,128,True,93.9162403794256,Histogram,1
HAR__33,256,True,94.79862060227964,Histogram,1
HAR__33,512,True,95.78246306214241,Dot plot,1
HAR__34,128,True,92.25877502416958,Histogram,1
HAR__34,256,True,94.98378207275194,Heatmap,1
HAR__34,512,True,93.53115233715602,Heatmap,1
HAR__35,128,True,93.97655458453495,Histogram,1
HAR__35,256,True,94.45824325338835,Heatmap,1
HAR__35,512,True,94.61060352100998,Histogram,1
HAR__36,128,True,96.17529926889223,Histogram,1
HAR__36,256,True,96.85877945574003,Heatmap,1
HAR__36,512,True,96.77778995977309,Box plot,1
HAR__37,128,True,95.665455834199,Histogram,1
HAR__37,256,True,89.6639445824712,Dot plot,1
HAR__37,512,True,95.51288588441969,Histogram,1
HAR__38,128,True,91.45920303768501,Dot plot,1
HAR__38,256,True,91.4734679021276,Histogram,1
HAR__38,512,True,93.71533928691619,Histogram,1
HAR__39,128,True,90.98988864763332,Histogram,1
HAR__39,256,True,90.19081134026254,Heatmap,1
HAR__39,512,True,93.68525931893271,Histogram,1
BIDMC__00,128,True,98.20197271068811,Violin plot,1
BIDMC__00,256,True,98.0194988849531,Violin plot,1
BIDMC__00,512,True,98.02145490290924,Violin plot,1
BIDMC__01,128,True,96.27253141688317,Dot plot,1
BIDMC__01,256,True,98.36081425114898,Dot plot,1
BIDMC__01,512,True,98.33683949537915,Dot plot,1
BIDMC__02,128,True,97.28388329680786,Histogram,1
BIDMC__02,256,True,98.06214248269038,Histogram,1
BIDMC__02,512,True,98.24339768407404,Dot plot,1
BIDMC__03,128,True,97.00455112279735,Violin plot,1
BIDMC__03,256,True,97.65774696029416,Dot plot,1
BIDMC__03,512,True,98.21315028643521,Dot plot,1
BIDMC__04,128,True,98.29887190493336,Histogram,1
BIDMC__04,256,True,98.25302601786653,Dot plot,1
BIDMC__04,512,True,98.26765838573783,Histogram,1
Wrist__00,128,True,95.69611938856195,Bar chart,1
