key,primary,dataset,feature,family,setting,H,phase,loss,score,decode_failure,scale,constant_scale_fallback
WDBC__00,True,WDBC,mean radius,Histogram,32,512,0.75,0.012237171282206005,98.7910766735917,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,128,0.0,0.04868891537796729,95.35716315258097,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,128,0.25,0.08510412903321594,92.15705417054856,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,128,0.5,0.10255395370764137,90.69850927813778,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,128,0.75,0.053209616972613276,94.94786069979487,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,256,0.0,0.02699538593047097,97.37142091383275,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,256,0.25,0.02990376158964852,97.09645088163458,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,256,0.5,0.033430988556236885,96.7650487621876,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,256,0.75,0.04035160571514719,96.12134921564243,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,512,0.0,0.02406349548227072,97.65019497439089,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,512,0.25,0.026498258548701786,97.41857734993474,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,512,0.5,0.022431197771170305,97.80609220257865,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Histogram,64,512,0.75,0.03447555439068217,96.66733986662558,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,128,0.0,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,128,0.25,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,128,0.5,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,128,0.75,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,256,0.0,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,256,0.25,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,256,0.5,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,256,0.75,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,512,0.0,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,512,0.25,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,512,0.5,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,4,512,0.75,0.47884014509627215,67.62056083721612,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,128,0.0,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,128,0.25,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,128,0.5,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,128,0.75,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,256,0.0,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,256,0.25,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,256,0.5,0.1647294089215872,85.85685158631749,,2.410516653707913,False
WDBC__00,True,WDBC,mean radius,Heatmap,8,256,0.75,0.1647294089215872,85.85685158631749,,2.410516653707913,False
