key,primary,dataset,feature,family,setting,H,loss,successful,loss_min,loss_max,score,placement_score_min,placement_score_max
CKD__00,True,CKD,age,Histogram,32,128,0.05367460306282928,4,0.024865216335402264,0.09212911546288641,94.9059602550154,91.56426523581521,97.57380620016431
CKD__00,True,CKD,age,Histogram,32,256,0.05493831655709777,4,0.051088509541159274,0.058591214662141906,94.79227214569333,94.46517089405076,95.13946646001664
CKD__00,True,CKD,age,Histogram,32,512,0.025741661110418528,4,0.02111655170943033,0.03169274994523693,97.49043427927538,96.9280825180831,97.93201357141068
CKD__00,True,CKD,age,Histogram,64,128,0.11552734206323204,4,0.043335224191414105,0.17357218849695843,89.64370143993445,85.2099265645295,95.8464716625475
CKD__00,True,CKD,age,Histogram,64,256,0.07496075937577631,4,0.05315562765944722,0.08874649789174885,93.02665155709445,91.84874550103281,94.95272813785544
CKD__00,True,CKD,age,Histogram,64,512,0.022922042599479494,4,0.018876862882226512,0.029935758889840115,97.75916036169978,97.09343435923542,98.14728711879597
CKD__00,True,CKD,age,Heatmap,4,128,0.1644890459858897,4,0.1644890459858897,0.1644890459858897,85.87457335447681,85.87457335447681,85.87457335447681
CKD__00,True,CKD,age,Heatmap,4,256,0.1644890459858897,4,0.1644890459858897,0.1644890459858897,85.87457335447681,85.87457335447681,85.87457335447681
CKD__00,True,CKD,age,Heatmap,4,512,0.1644890459858897,4,0.1644890459858897,0.1644890459858897,85.87457335447681,85.87457335447681,85.87457335447681
CKD__00,True,CKD,age,Heatmap,8,128,0.08832153098722151,4,0.08832153098722151,0.08832153098722151,91.88461052432689,91.88461052432689,91.88461052432689
CKD__00,True,CKD,age,Heatmap,8,256,0.08832153098722151,4,0.08832153098722151,0.08832153098722151,91.88461052432689,91.88461052432689,91.88461052432689
CKD__00,True,CKD,age,Heatmap,8,512,0.08832153098722151,4,0.08832153098722151,0.08832153098722151,91.88461052432689,91.88461052432689,91.88461052432689
CKD__00,True,CKD,age,Heatmap,16,128,0.0680788001033634,4,0.0680788001033634,0.0680788001033634,93.62605080292062,93.62605080292062,93.62605080292062
CKD__00,True,CKD,age,Heatmap,16,256,0.0680788001033634,4,0.0680788001033634,0.0680788001033634,93.62605080292062,93.62605080292062,93.62605080292062
CKD__00,True,CKD,age,Heatmap,16,512,0.0680788001033634,4,0.0680788001033634,0.0680788001033634,93.62605080292062,93.62605080292062,93.62605080292062
CKD__00,True,CKD,age,Heatmap,32,128,0.024993123957252252,4,0.024993123957252252,0.024993123957252252,97.56163008579415,97.56163008579415,97.56163008579415
CKD__00,True,CKD,age,Heatmap,32,256,0.023163663917076884,4,0.023163663917076884,0.023163663917076884,97.73607441957064,97.73607441957064,97.73607441957064
CKD__00,True,CKD,age,Heatmap,32,512,0.023163663917076884,4,0.023163663917076884,0.023163663917076884,97.73607441957064,97.73607441957064,97.73607441957064
CKD__00,True,CKD,age,Heatmap,64,128,0.036109598517998796,4,0.036109598517998796,0.036109598517998796,96.51488620801811,96.51488620801811,96.51488620801811
CKD__00,True,CKD,age,Heatmap,64,256,0.013379423702604228,4,0.013379423702604228,0.013379423702604228,98.679722186018,98.679722186018,98.679722186018
CKD__00,True,CKD,age,Heatmap,64,512,0.013535020760693897,4,0.013535020760693897,0.013535020760693897,98.66457295668626,98.66457295668626,98.66457295668626
CKD__00,True,CKD,age,Violin plot,8,128,0.14145988636525358,4,0.13922615340534253,0.14397964733423707,87.60710840083011,87.41414257939411,87.77888367562738
CKD__00,True,CKD,age,Violin plot,8,256,0.14399158474204762,4,0.1435575768766795,0.1443972451949229,87.4132304238483,87.38224460070873,87.44640586713889
CKD__00,True,CKD,age,Violin plot,8,512,0.14138530812103967,4,0.1412848472958465,0.1415402317826633,87.6128326591316,87.60094231969119,87.62054471934802
CKD__00,True,CKD,age,Violin plot,16,128,0.10030607183941143,4,0.09913053392847272,0.1021530647585996,90.88380275210814,90.73149927855313,90.98100445138542
CKD__00,True,CKD,age,Violin plot,16,256,0.10206003314024138,4,0.10181523974915471,0.10252555212702855,90.7391584785605,90.70084571471084,90.75931825263784
CKD__00,True,CKD,age,Violin plot,16,512,0.09771892657948034,4,0.09744285521391559,0.09802679574775502,91.09800111728283,91.07245869341477,91.1209176176265
CKD__00,True,CKD,age,Violin plot,32,128,0.09448106213264286,4,0.09326244394472881,0.09704262266039375,91.36750142130897,91.15416113687,91.46934531033395
CKD__00,True,CKD,age,Violin plot,32,256,0.08973653514202423,4,0.0896103289635295,0.08986179114716474,91.76529993735329,91.7547535038752,91.775928826889
CKD__00,True,CKD,age,Violin plot,32,512,0.09319248969219454,4,0.09300685484978262,0.0935298226234319,91.47519850612638,91.44698016565756,91.49073453317317
CKD__00,True,CKD,age,Violin plot,64,128,0.10142767463282557,4,0.10012566809093548,0.10261427859534943,90.79125420862177,90.69354709191028,90.89870630282765
CKD__00,True,CKD,age,Violin plot,64,256,0.08911818671723455,4,0.08833615981428189,0.08962308032635084,91.81739981903615,91.77485481497803,91.88337546100134
CKD__00,True,CKD,age,Violin plot,64,512,0.08981666376129589,4,0.08971024126338484,0.08989320939666458,91.75855290638421,91.75210849818698,91.76751416418948
CKD__00,True,CKD,age,Violin plot,128,128,0.09398000619137745,4,0.09268143002340139,0.09471040627169242,91.40934883092034,91.34835973705118,91.51798250827632
CKD__00,True,CKD,age,Violin plot,128,256,0.08885404357138747,4,0.08867120126429384,0.08929273100307278,91.83967363706981,91.80268733448284,91.8550981084722
CKD__00,True,CKD,age,Violin plot,128,512,0.08863492124152131,4,0.08844963250201976,0.08884660412149505,91.85815928627031,91.84030112366669,91.87379646601555
CKD__00,True,CKD,age,Violin plot,256,128,0.09311755122240235,4,0.09143185418530503,0.09593088782460707,91.48146957129435,91.24662979295827,91.62276106981008
CKD__00,True,CKD,age,Violin plot,256,256,0.08838666259347486,4,0.08760068461689428,0.08877621984699068,91.8791119340932,91.84623816825587,91.94551034622128
CKD__00,True,CKD,age,Violin plot,256,512,0.08844028665070328,4,0.0883573904992495,0.08852773541598742,91.87458533689087,91.86720443258562,91.88158308377744
CKD__01,True,CKD,bp,Bar chart,means,128,0.3707803539831228,4,0.35010453217790016,0.4328078193987908,72.95114765062588,69.79303061171191,74.0683388705366
CKD__01,True,CKD,bp,Bar chart,means,256,0.36991525683646037,4,0.34110752185261484,0.3795178351644089,72.99721606935717,72.48909542955069,74.56523684384331
CKD__01,True,CKD,bp,Bar chart,means,512,0.37880006668333055,4,0.37416367027852304,0.3927092558977531,72.52683142128615,71.80249544298395,72.77153527114528
CKD__01,True,CKD,bp,Box plot,five,128,0.7273785909656068,4,0.7134573213265376,0.7401983601865046,57.891188719723495,57.464713384330835,58.36153533289129
CKD__01,True,CKD,bp,Box plot,five,256,0.6961525796590091,4,0.6882576485146292,0.7120928576521008,58.95696012212757,58.408046942696906,59.23266516102117
CKD__01,True,CKD,bp,Box plot,five,512,0.7064987413256169,4,0.7046280800679553,0.7102561665366783,58.599515826375296,58.470772950056414,58.66382301763648
CKD__01,True,CKD,bp,Interval plot,five,128,0.7260653660537023,4,0.7194503131541384,0.7326804189532665,57.93523348923319,57.71404749896765,58.158121368777
CKD__01,True,CKD,bp,Interval plot,five,256,0.6999936109901883,4,0.6882888749034737,0.719743693925615,58.82375048559942,58.14819984699729,59.231569600739924
CKD__01,True,CKD,bp,Interval plot,five,512,0.7056704272785413,4,0.7034423648400108,0.7102637238250317,58.62797314224038,58.47051458025925,58.70465714840438
CKD__01,True,CKD,bp,Dot plot,means,128,0.39145617578834513,4,0.36664518962207865,0.4162671619546116,71.86715739958098,70.60814702643285,73.17188159690023
CKD__01,True,CKD,bp,Dot plot,means,256,0.3795178351644092,4,0.3743964600561698,0.38463921027264925,72.48909542955067,72.22097948555783,72.75920951943745
CKD__01,True,CKD,bp,Dot plot,means,512,0.3834364630881379,4,0.3778727874023692,0.38900013877390693,72.28376775379894,71.99423326787543,72.57564044684032
CKD__01,True,CKD,bp,Dot plot,raw,128,0.08138485517638913,4,0.07347301715836396,0.08575693278794015,92.4740156303452,92.10164538689716,93.15557857682744
CKD__01,True,CKD,bp,Dot plot,raw,256,0.045153419175134026,4,0.03301049842860891,0.05859632155124472,95.67973291320519,94.46471517439443,96.80443727543683
CKD__01,True,CKD,bp,Dot plot,raw,512,0.02447902776932258,4,0.019942037357084746,0.027736656046316355,97.6105877127985,97.30119035035504,98.04478719116635
CKD__01,True,CKD,bp,Histogram,4,128,0.7636209682823529,4,0.7636209682823528,0.763620968282353,56.70152589385077,56.70152589385077,56.70152589385077
CKD__01,True,CKD,bp,Histogram,4,256,0.7594268596924777,4,0.7552327511026026,0.7636209682823528,56.83669056722174,56.70152589385077,56.97250118947585
CKD__01,True,CKD,bp,Histogram,4,512,0.757540914447527,4,0.7555170974476787,0.7595690328650158,56.897679694378226,56.83209816279566,56.96327318337633
CKD__01,True,CKD,bp,Histogram,8,128,0.5689318383738491,4,0.553542892534499,0.5798645948333554,63.73763190607886,63.296563722632214,64.36899842324716
CKD__01,True,CKD,bp,Histogram,8,256,0.5591022454121881,4,0.5493858753245358,0.5684385668005415,64.13947532579076,63.75767729557303,64.54170106530364
CKD__01,True,CKD,bp,Histogram,8,512,0.5557607529342105,4,0.5516976127378327,0.5600516852805891,64.2772353084477,64.10044035304773,64.44554607747244
CKD__01,True,CKD,bp,Histogram,16,128,0.3170321235852379,4,0.3135956464415,0.32170093073488837,75.92829226350153,75.66008139556827,76.12692708817791
CKD__01,True,CKD,bp,Histogram,16,256,0.3083146769750913,4,0.3010458562848456,0.3145203117334021,76.434210943201,76.07337757157532,76.8612416825579
CKD__01,True,CKD,bp,Histogram,16,512,0.3051685067057352,4,0.3023152116924115,0.3094539672050343,76.6184592152024,76.36770936930691,76.78632569302937
CKD__01,True,CKD,bp,Histogram,32,128,0.2660685847634136,4,0.265203897513678,0.2672908019601787,78.98466260316118,78.90848718015255,79.0386436498619
CKD__01,True,CKD,bp,Histogram,32,256,0.25697228081979107,4,0.24825961490651322,0.2647732622986565,79.55624919173276,79.065555053129,80.11153994394778
CKD__01,True,CKD,bp,Histogram,32,512,0.25330745697639717,4,0.2504597411067067,0.25738842269431095,79.78888136614928,79.52991947048604,79.9705873869206
CKD__01,True,CKD,bp,Histogram,64,128,0.22705312224665675,4,0.15207650778006526,0.25277643824229407,81.49606417765052,79.82270175858737,86.79979092073484
CKD__01,True,CKD,bp,Histogram,64,256,0.13782031546361462,4,0.13019470453646453,0.14465800238620735,87.88733918787005,87.36233861252474,88.48032962693252
CKD__01,True,CKD,bp,Histogram,64,512,0.13465074968692978,4,0.13203841020287108,0.138062417033415,88.13284618865477,87.86864279436429,88.3362252541229
CKD__01,True,CKD,bp,Heatmap,4,128,0.7557505422865374,4,0.7557505422865374,0.7557505422865374,56.955699338568145,56.955699338568145,56.955699338568145
CKD__01,True,CKD,bp,Heatmap,4,256,0.7557505422865374,4,0.7557505422865374,0.7557505422865374,56.955699338568145,56.955699338568145,56.955699338568145
CKD__01,True,CKD,bp,Heatmap,4,512,0.7557505422865374,4,0.7557505422865374,0.7557505422865374,56.955699338568145,56.955699338568145,56.955699338568145
CKD__01,True,CKD,bp,Heatmap,8,128,0.5522145906943464,4,0.5522145906943464,0.5522145906943464,64.42408195329962,64.42408195329962,64.42408195329962
CKD__01,True,CKD,bp,Heatmap,8,256,0.5522145906943464,4,0.5522145906943464,0.5522145906943464,64.42408195329962,64.42408195329962,64.42408195329962
