H,family,phase,loss,error,recovered
256,Bar chart,0.0,0.027549089170627834,,"[93.83727272727273, 93.83727272727273, 94.27170454545455, 95.575, 94.27170454545455, 94.27170454545455, 93.40284090909091, 93.40284090909091, 92.09954545454546, 89.92738636363636, 88.62409090909091, 84.27977272727273]"
256,Bar chart,0.25,0.0933430166839318,,"[93.40284090909091, 93.83727272727273, 93.83727272727273, 95.14056818181818, 94.27170454545455, 94.27170454545455, 92.9684090909091, 92.9684090909091, 91.66511363636364, 89.92738636363636, 88.62409090909091, 84.27977272727273]"
256,Bar chart,0.5,0.1507041993133798,,"[93.40284090909091, 93.40284090909091, 93.83727272727273, 95.14056818181818, 93.83727272727273, 93.83727272727273, 92.9684090909091, 92.9684090909091, 91.66511363636364, 89.49295454545455, 88.62409090909091, 83.84534090909092]"
256,Bar chart,0.75,0.16217643583926955,,"[93.40284090909091, 93.40284090909091, 93.83727272727273, 95.14056818181818, 93.83727272727273, 93.83727272727273, 92.9684090909091, 92.9684090909091, 91.66511363636364, 89.49295454545455, 88.18965909090909, 83.84534090909092]"
384,Line chart,0.125,0.017819139161423567,,"[93.92440111420613, 94.09212325905293, 94.27382224930363, 95.60162256267411, 94.48347493036212, 94.41359070334262, 93.50509575208915, 93.36532729805015, 92.10741121169917, 90.08076862813371, 88.82285254178274, 84.55991469359333]"
384,Line chart,0.375,0.016049909643805226,,"[93.78463266016713, 93.92440111420613, 94.20393802228413, 95.4898077994429, 94.48347493036212, 94.34370647632312, 93.43521152506965, 93.36532729805015, 92.03752698467967, 90.01088440111421, 88.82285254178274, 84.51332520891366]"
384,Line chart,0.625,0.030308925824792422,,"[93.64486420612813, 93.92440111420613, 94.20393802228413, 95.43390041782729, 94.34370647632312, 94.20393802228413, 93.36532729805015, 93.36532729805015, 91.96764275766017, 90.01088440111421, 88.78092200557104, 84.51332520891366]"
384,Line chart,0.875,0.047287196761296814,,"[93.64486420612813, 93.92440111420613, 94.06416956824512, 95.32208565459611, 94.27382224930363, 94.20393802228413, 93.36532729805015, 93.25351253481895, 91.96764275766017, 89.89906963788302, 88.68308408774374, 84.51332520891366]"
384,Area chart,0.125,0.03917744311461959,,"[93.64486420612813, 93.92440111420613, 94.20393802228413, 95.32208565459611, 94.20393802228413, 94.20393802228413, 93.36532729805015, 93.36532729805015, 91.96764275766017, 90.01088440111421, 88.61319986072424, 84.42014623955431]"
384,Area chart,0.375,0.04655930004353484,,"[93.64486420612813, 93.92440111420613, 94.20393802228413, 95.32208565459611, 94.20393802228413, 94.20393802228413, 93.36532729805015, 93.08579038997215, 91.96764275766017, 90.01088440111421, 88.61319986072424, 84.42014623955431]"
384,Area chart,0.625,0.0687048708302802,,"[93.64486420612813, 93.64486420612813, 93.92440111420613, 95.32208565459611, 94.20393802228413, 94.20393802228413, 93.36532729805015, 93.08579038997215, 91.96764275766017, 89.73134749303622, 88.61319986072424, 84.42014623955431]"
384,Area chart,0.875,0.09823229854594082,,"[93.36532729805015, 93.64486420612813, 93.92440111420613, 95.32208565459611, 94.20393802228413, 93.92440111420613, 93.08579038997215, 93.08579038997215, 91.68810584958217, 89.73134749303622, 88.61319986072424, 84.42014623955431]"
384,Dot plot,0.125,0.022645608665043913,,"[93.88945900069638, 94.06416956824512, 94.34370647632312, 95.60162256267411, 94.48347493036212, 94.48347493036212, 93.55168523676882, 93.45850626740948, 92.15400069637884, 90.10406337047354, 88.89273676880222, 84.55991469359333]"
