key,dataset,feature,family,setting,axis,H,observer,loss,group_loss,zero_loss,successful,low,high,scale,score,candidate
HAR__04,HAR,tBodyAcc-std()-Y,Heatmap,32,zero,256,threshold,0.0468493474015054,0.0661158840313164,7.977201261579362,4,0.0468493474015054,0.0468493474015054,0.1183712457679736,95.52472879523734,Heatmap / 32
Wrist__03,Wrist,q90,Bar chart,means,zero,256,threshold,0.0472976741237218,0.5309409466279086,0.130282359020151,4,0.0420747277411413,0.0629665132714635,29.194196643150427,95.48383661185,Bar chart / means
HAR__27,HAR,tBodyGyroJerk-std()-X,Heatmap,64,zero,256,threshold,0.0485066901050267,0.0635104817070138,5.5696618032543626,4,0.0485066901050267,0.0485066901050267,0.1082625972725443,95.373735755547,Heatmap / 64
Wrist__00,Wrist,mean,Bar chart,means,zero,256,threshold,0.0487924987311752,0.5403201257523412,0.1476325689647016,4,0.0384655876119185,0.0522348024375943,29.715915839607305,95.34774526036333,Bar chart / means
HAR__22,HAR,tBodyGyro-std()-Y,Dot plot,raw,zero,256,threshold,0.0495935021885084,0.0318674757263927,3.789140300933709,4,0.0426427552075747,0.0548488186679365,0.1645037007659498,95.27498006751176,Dot plot / raw
CKD__04,CKD,sc,Heatmap,64,zero,256,threshold,0.0501766185570702,0.0455150460806139,0.538847825566807,4,0.0501766185570702,0.0501766185570702,5.483923029459524,95.22207810853642,Heatmap / 64
HAR__25,HAR,tBodyGyroJerk-mean()-Y,Histogram,64,zero,256,threshold,0.0503296034788031,0.0314821384173019,1.301729608668024,4,0.0345017728135852,0.066157434144021,0.0091759494410072,95.20820861260066,Histogram / 64
HAR__26,HAR,tBodyGyroJerk-mean()-Z,Histogram,64,zero,256,threshold,0.0510166385930648,0.0603331051620366,0.9819911096664414,4,0.0443087966414872,0.0572744621383594,0.0162481200674206,95.14597231673156,Histogram / 64
HAR__34,HAR,tBodyAccJerkMag-mean(),Heatmap,64,zero,256,threshold,0.0528113096550099,0.0671849798039049,7.415407794137192,4,0.0528113096550099,0.0528113096550099,0.1009673116928177,94.98378207275194,Heatmap / 64
HAR__29,HAR,tBodyGyroJerk-std()-Z,Histogram,32,zero,256,threshold,0.0530702011757932,0.0963795338804127,5.727563428170417,4,0.0448063765994234,0.0625392916830577,0.0940084226045832,94.96043083200549,Histogram / 32
HAR__14,HAR,tBodyAccJerk-mean()-Z,Histogram,64,zero,256,threshold,0.0538546690240776,0.051915146293244,0.8760679729443205,4,0.0404745768574304,0.0667496626756808,0.0204052047812232,94.88974423067748,Histogram / 64
HAR__28,HAR,tBodyGyroJerk-std()-Y,Dot plot,raw,zero,256,threshold,0.0542968523590188,0.0430026379187316,2.851111129589107,4,0.0239709174729672,0.0788436476184568,0.1619098651607198,94.84994646075933,Dot plot / raw
HAR__31,HAR,tBodyAccMag-std(),Histogram,64,zero,256,threshold,0.0548676696419702,0.0534498788897701,7.383637809662343,4,0.0486937732229313,0.0587009820818628,0.0871909475783781,94.79862060227964,Histogram / 64
HAR__33,HAR,tGravityAccMag-std(),Histogram,64,zero,256,threshold,0.0548676696419702,0.0534498788897701,7.383637809662343,4,0.0486937732229313,0.0587009820818628,0.0871909475783781,94.79862060227964,Histogram / 64
WDBC__13,WDBC,area error,Dot plot,raw,zero,256,threshold,0.0549311176870574,0.0432198685661085,1.2490355035028862,4,0.0440668066887405,0.0712271993392838,38.07874145019458,94.79291900996397,Dot plot / raw
Wrist__02,Wrist,q10,Violin plot,16,zero,256,threshold,0.0550267102887943,0.3852249485292223,0.2182669216939535,4,0.0545975631965256,0.0559852060112095,30.43233291876568,94.78433012622668,Violin plot / 16
HAR__00,HAR,tBodyAcc-mean()-X,Heatmap,64,zero,256,threshold,0.0584391632801837,0.192895361807756,1.0074414071271316,4,0.0584391632801837,0.0584391632801837,0.0046163865383122,94.47874140455306,Heatmap / 64
HAR__35,HAR,tBodyAccJerkMag-std(),Heatmap,32,zero,256,threshold,0.0586688525610798,0.0937460846468578,6.351958299397688,4,0.0586688525610798,0.0586688525610798,0.1214445464450148,94.45824325338836,Heatmap / 32
HAR__08,HAR,tGravityAcc-mean()-Z,Histogram,64,zero,256,threshold,0.058851697503243,0.0406941201369204,1.4276852001405482,4,0.050330823151179,0.0663061476046268,0.1390913183805862,94.4419319870748,Histogram / 64
CKD__05,CKD,sod,Dot plot,raw,zero,256,threshold,0.0610903857490598,0.0462719513985154,0.75141055610421,4,0.0455707100684492,0.0695947812961359,9.661828598257197,94.24267842122288,Dot plot / raw
HAR__18,HAR,tBodyGyro-mean()-X,Dot plot,raw,zero,256,threshold,0.064552640256906,0.0435572272866907,0.6670287206786537,4,0.0251004292900125,0.1454714406971719,0.0069091420910798,93.93617207681456,Dot plot / raw
Cleveland__01,Cleveland,trestbps,Dot plot,raw,zero,256,threshold,0.0651898050776573,0.0378557359187881,0.172143795625577,4,0.0533505199888284,0.0718479980768803,17.427290882589684,93.87998225603512,Dot plot / raw
HAR__20,HAR,tBodyGyro-mean()-Z,Heatmap,32,zero,256,threshold,0.0673653280234665,0.1372796120037072,0.8840846496226551,4,0.0673653280234665,0.0673653280234665,0.0051456011049865,93.68863441084294,Heatmap / 32
HAR__23,HAR,tBodyGyro-std()-Z,Histogram,64,zero,256,threshold,0.0690000516852186,0.0567174791843685,6.506856847420687,4,0.0682425479263389,0.0700411806871674,0.1007221383485321,93.54536498137266,Histogram / 64
HAR__30,HAR,tBodyAccMag-mean(),Dot plot,raw,zero,256,threshold,0.0699817996753187,0.0502794823720648,10.138692858529437,4,0.0432831080992578,0.1171487020362169,0.0815866565761593,93.4595336391185,Dot plot / raw
HAR__32,HAR,tGravityAccMag-mean(),Dot plot,raw,zero,256,threshold,0.0699817996753187,0.0502794823720648,10.138692858529437,4,0.0432831080992578,0.1171487020362169,0.0815866565761593,93.4595336391185,Dot plot / raw
HAR__06,HAR,tGravityAcc-mean()-X,Histogram,64,zero,256,threshold,0.0700162376407112,0.0597916515633994,0.3149381013152098,4,0.0514204950403913,0.1252827409165451,0.0516786369512984,93.4565256883306,Histogram / 64
Retinopathy__10,Retinopathy,feature_12,Heatmap,64,zero,256,threshold,0.0709485356717204,0.1275253467466165,0.1571889426940167,4,0.0709485356717204,0.0709485356717204,2.459911323105543,93.37516852504775,Heatmap / 64
HAR__12,HAR,tBodyAccJerk-mean()-X,Dot plot,raw,zero,256,threshold,0.0724548985991679,0.0526122705398807,1.2772440670946683,4,0.0609763186384147,0.0793288525399223,0.0205696096359731,93.2440143922315,Dot plot / raw
HAR__05,HAR,tBodyAcc-std()-Z,Dot plot,raw,zero,256,threshold,0.0763586068183727,0.0436508433033613,5.020878783288113,4,0.0454457652355996,0.1484352154214151,0.1374280562790486,92.90583952832574,Dot plot / raw
Cleveland__04,Cleveland,oldpeak,Violin plot,256,zero,256,threshold,0.0771581937367507,0.0657884434185299,0.9544077453023504,4,0.0765607466328888,0.0779283831116041,1.0530090571316797,92.83687445489484,Violin plot / 256
Retinopathy__12,Retinopathy,feature_14,Heatmap,32,zero,256,threshold,0.0774485982766348,0.1580597998748423,0.2025511288608782,4,0.0774485982766348,0.0774485982766348,0.392022401684756,92.81185214770218,Heatmap / 32
HAR__02,HAR,tBodyAcc-mean()-Z,Dot plot,raw,zero,256,threshold,0.0812004367205742,0.0863462995365676,0.6902601240651061,4,0.0404010708748915,0.1735501076474138,0.0039368550424096,92.48978876045722,Dot plot / raw
Retinopathy__11,Retinopathy,feature_13,Heatmap,64,zero,256,threshold,0.0821047734943271,0.0923432778553673,0.1604198373554132,4,0.0821047734943271,0.0821047734943271,1.0453904751720595,92.41249317945484,Heatmap / 64
