family,setting,phase,loss,error,recovered_target
Histogram,32,0.25,0.05088312340193857,,"[260.04949391051593, 322.6249629064215, 481.9437794895839, 636.2487904841056, 727.2843791909063]"
Histogram,32,0.5,0.04273386813277687,,"[264.2317228668965, 327.66864591566576, 484.0812454870957, 637.9009127903018, 729.8023678821185]"
Histogram,32,0.75,0.08029958186592003,,"[268.9385427859747, 327.133630235345, 476.7331211029383, 623.4606987340686, 684.9965121520979]"
Histogram,64,0.0,0.03866721166467343,,"[271.15575394802465, 322.6219883078331, 475.8943709600546, 637.3757384064836, 724.1767349201067]"
Histogram,64,0.25,0.0273550572184315,,"[275.45864601528604, 327.14635276090956, 485.9683716445554, 646.6358684144379, 730.3055978518087]"
Histogram,64,0.5,0.029132581582504216,,"[271.7581938630176, 324.2557865825551, 484.546995886601, 647.6846898426719, 732.1260521879574]"
Histogram,64,0.75,0.08492820090486913,,"[276.15040115023453, 326.06359887470313, 477.26244512708547, 626.9330087268983, 670.0957562895442]"
Heatmap,4,0.0,1.2531074157049362,,"[753.1650200626402, 685.9139681904032, 573.8288817366747, 370.27617026030816, 391.0091902532281]"
Heatmap,4,0.25,1.2531074157049362,,"[753.1650200626402, 685.9139681904032, 573.8288817366747, 370.27617026030816, 391.0091902532281]"
Heatmap,4,0.5,1.2531074157049362,,"[753.1650200626402, 685.9139681904032, 573.8288817366747, 370.27617026030816, 391.0091902532281]"
Heatmap,4,0.75,1.2531074157049362,,"[753.1650200626402, 685.9139681904032, 573.8288817366747, 370.27617026030816, 391.0091902532281]"
Heatmap,8,0.0,0.4046976536618177,,"[406.24504914878514, 450.6360644531227, 523.2854479782741, 542.8021969453598, 639.4553369988832]"
Heatmap,8,0.25,0.4046976536618177,,"[406.24504914878514, 450.6360644531227, 523.2854479782741, 542.8021969453598, 639.4553369988832]"
Heatmap,8,0.5,0.4046976536618177,,"[406.24504914878514, 450.6360644531227, 523.2854479782741, 542.8021969453598, 639.4553369988832]"
Heatmap,8,0.75,0.4046976536618177,,"[406.24504914878514, 450.6360644531227, 523.2854479782741, 542.8021969453598, 639.4553369988832]"
Heatmap,16,0.0,0.09483093622080054,,"[259.95431277923495, 359.5083000073196, 499.2738444051258, 621.7608207693784, 741.531732924728]"
Heatmap,16,0.25,0.09483093622080054,,"[259.95431277923495, 359.5083000073196, 499.2738444051258, 621.7608207693784, 741.531732924728]"
Heatmap,16,0.5,0.09483093622080054,,"[259.95431277923495, 359.5083000073196, 499.2738444051258, 621.7608207693784, 741.531732924728]"
Heatmap,16,0.75,0.09483093622080054,,"[259.95431277923495, 359.5083000073196, 499.2738444051258, 621.7608207693784, 741.531732924728]"
Heatmap,32,0.0,0.035974833617188305,,"[266.61301282461704, 327.0496783067839, 486.486049359165, 639.5429459495182, 736.0601541231487]"
Heatmap,32,0.25,0.035974833617188305,,"[266.61301282461704, 327.0496783067839, 486.486049359165, 639.5429459495182, 736.0601541231487]"
