key,dataset,feature,family,configuration,retained_values,error,error_ratio,qualifies,retention_cost,score,selected,status
WDBC__07,WDBC,mean concave points,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__07,WDBC,mean concave points,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__07,WDBC,mean concave points,Bar,Mean bars,2.0,0.03379849620985835,1.6373323002330622,False,,0.0,False,exceeds tolerance
WDBC__07,WDBC,mean concave points,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__07,WDBC,mean concave points,Forest,Mean contrast with interval,3.0,0.03379849620985835,1.6373323002330622,False,,0.0,False,exceeds tolerance
WDBC__07,WDBC,mean concave points,Interval,Means with intervals,6.0,0.03379849620985835,1.6373323002330622,False,,0.0,False,exceeds tolerance
WDBC__07,WDBC,mean concave points,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__07,WDBC,mean concave points,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__07,WDBC,mean concave points,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__07,WDBC,mean concave points,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__08,WDBC,mean symmetry,Bar,Mean bars,2.0,0.010874784942596943,0.5802562822343659,True,2.290128141117183,0.4366567887822096,True,qualified
WDBC__08,WDBC,mean symmetry,Dot,Mean dots,2.0,0.010874784942596943,0.5802562822343659,True,2.290128141117183,0.4366567887822096,True,qualified
WDBC__08,WDBC,mean symmetry,Forest,Mean contrast with interval,3.0,0.010874784942596943,0.5802562822343659,True,3.290128141117183,0.3039395297413687,False,qualified
WDBC__08,WDBC,mean symmetry,Interval,Means with intervals,6.0,0.010874784942596943,0.5802562822343659,True,6.290128141117183,0.15897927316666574,False,qualified
WDBC__08,WDBC,mean symmetry,Box,Min-max box with mean markers,12.0,0.00809662921348317,0.4320195747175825,True,12.216009787358791,0.0818597903412624,False,qualified
WDBC__08,WDBC,mean symmetry,Heatmap,10 common bins,22.0,0.0034100280898876623,0.18195212431303964,True,22.09097606215652,0.04526735247851153,False,qualified
WDBC__08,WDBC,mean symmetry,Histogram,10 common bins,22.0,0.0034100280898876623,0.18195212431303964,True,22.09097606215652,0.04526735247851153,False,qualified
WDBC__08,WDBC,mean symmetry,Violin,64-point density per group,130.0,0.0031276926538312544,0.1668872829084622,True,130.08344364145424,0.007687373365947131,False,qualified
WDBC__08,WDBC,mean symmetry,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__08,WDBC,mean symmetry,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__08,WDBC,mean symmetry,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__08,WDBC,mean symmetry,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__08,WDBC,mean symmetry,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__08,WDBC,mean symmetry,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__08,WDBC,mean symmetry,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__09,WDBC,mean fractal dimension,Bar,Mean bars,2.0,0.0037081152251021293,0.7845903883082282,True,2.392295194154114,0.41800861467415507,True,qualified
WDBC__09,WDBC,mean fractal dimension,Dot,Mean dots,2.0,0.0037081152251021293,0.7845903883082282,True,2.392295194154114,0.41800861467415507,True,qualified
WDBC__09,WDBC,mean fractal dimension,Forest,Mean contrast with interval,3.0,0.0037081152251021293,0.7845903883082282,True,3.392295194154114,0.29478566656677857,False,qualified
WDBC__09,WDBC,mean fractal dimension,Interval,Means with intervals,6.0,0.0037081152251021293,0.7845903883082282,True,6.392295194154114,0.15643833234023996,False,qualified
WDBC__09,WDBC,mean fractal dimension,Box,Min-max box with mean markers,12.0,0.002003567415730337,0.4239295818177502,True,12.211964790908874,0.08188690494296579,False,qualified
WDBC__09,WDBC,mean fractal dimension,Heatmap,10 common bins,22.0,0.001286105925285698,0.2721237842056613,True,22.13606189210283,0.04517515377731916,False,qualified
WDBC__09,WDBC,mean fractal dimension,Histogram,10 common bins,22.0,0.001286105925285698,0.2721237842056613,True,22.13606189210283,0.04517515377731916,False,qualified
WDBC__09,WDBC,mean fractal dimension,Violin,64-point density per group,130.0,0.0010273783486621085,0.21738029391847422,True,130.10869014695925,0.007685881695300203,False,qualified
WDBC__09,WDBC,mean fractal dimension,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__09,WDBC,mean fractal dimension,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__09,WDBC,mean fractal dimension,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__09,WDBC,mean fractal dimension,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__09,WDBC,mean fractal dimension,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__09,WDBC,mean fractal dimension,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__09,WDBC,mean fractal dimension,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__10,WDBC,radius error,Heatmap,10 common bins,22.0,0.09327923578199071,0.5245446251452364,True,22.26227231257262,0.04491904446947448,True,qualified
WDBC__10,WDBC,radius error,Histogram,10 common bins,22.0,0.09327923578199071,0.5245446251452364,True,22.26227231257262,0.04491904446947448,True,qualified
WDBC__10,WDBC,radius error,Violin,64-point density per group,130.0,0.04139515080240197,0.23278067919879641,True,130.1163903395994,0.007685426850453149,False,qualified
WDBC__10,WDBC,radius error,Dot,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__10,WDBC,radius error,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__10,WDBC,radius error,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__10,WDBC,radius error,Bar,Mean bars,2.0,0.35618843136378253,2.0029830395207564,False,,0.0,False,exceeds tolerance
WDBC__10,WDBC,radius error,Box,Min-max box with mean markers,12.0,1.0058799999999999,5.656445865125311,False,,0.0,False,exceeds tolerance
WDBC__10,WDBC,radius error,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__10,WDBC,radius error,Forest,Mean contrast with interval,3.0,0.35618843136378253,2.0029830395207564,False,,0.0,False,exceeds tolerance
WDBC__10,WDBC,radius error,Interval,Means with intervals,6.0,0.35618843136378253,2.0029830395207564,False,,0.0,False,exceeds tolerance
WDBC__10,WDBC,radius error,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__10,WDBC,radius error,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__10,WDBC,radius error,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__10,WDBC,radius error,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__11,WDBC,texture error,Bar,Mean bars,2.0,0.21747833082141077,0.4934033359021725,True,2.2467016679510863,0.4450969233097891,True,qualified
WDBC__11,WDBC,texture error,Dot,Mean dots,2.0,0.21747833082141077,0.4934033359021725,True,2.2467016679510863,0.4450969233097891,True,qualified
WDBC__11,WDBC,texture error,Forest,Mean contrast with interval,3.0,0.21747833082141077,0.4934033359021725,True,3.2467016679510863,0.30800489304922046,False,qualified
WDBC__11,WDBC,texture error,Interval,Means with intervals,6.0,0.21747833082141077,0.4934033359021725,True,6.246701667951086,0.16008448188434127,False,qualified
WDBC__11,WDBC,texture error,Heatmap,10 common bins,22.0,0.08779945030491437,0.19919474968931872,True,22.09959737484466,0.04524969315225043,False,qualified
WDBC__11,WDBC,texture error,Histogram,10 common bins,22.0,0.08779945030491437,0.19919474968931872,True,22.09959737484466,0.04524969315225043,False,qualified
WDBC__11,WDBC,texture error,Violin,64-point density per group,130.0,0.09600127162430483,0.21780260815584324,True,130.10890130407793,0.007685869221682971,False,qualified
WDBC__11,WDBC,texture error,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__11,WDBC,texture error,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__11,WDBC,texture error,Box,Min-max box with mean markers,12.0,0.9089943820224722,2.0622783829186284,False,,0.0,False,exceeds tolerance
WDBC__11,WDBC,texture error,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__11,WDBC,texture error,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__11,WDBC,texture error,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__11,WDBC,texture error,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__11,WDBC,texture error,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__12,WDBC,perimeter error,Heatmap,10 common bins,22.0,0.4936821997662262,0.3587097255490703,True,22.179354862774534,0.04508697417878387,True,qualified
WDBC__12,WDBC,perimeter error,Histogram,10 common bins,22.0,0.4936821997662262,0.3587097255490703,True,22.179354862774534,0.04508697417878387,True,qualified
WDBC__12,WDBC,perimeter error,Violin,64-point density per group,130.0,0.3720896714028814,0.27036053552624456,True,130.13518026776313,0.007684317168827239,False,qualified
WDBC__12,WDBC,perimeter error,Dot,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__12,WDBC,perimeter error,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__12,WDBC,perimeter error,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__12,WDBC,perimeter error,Bar,Mean bars,2.0,2.9346420432323863,2.1323123305055987,False,,0.0,False,exceeds tolerance
WDBC__12,WDBC,perimeter error,Box,Min-max box with mean markers,12.0,8.795,6.3904512613539515,False,,0.0,False,exceeds tolerance
WDBC__12,WDBC,perimeter error,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__12,WDBC,perimeter error,Forest,Mean contrast with interval,3.0,2.9346420432323863,2.1323123305055987,False,,0.0,False,exceeds tolerance
WDBC__12,WDBC,perimeter error,Interval,Means with intervals,6.0,2.9346420432323863,2.1323123305055987,False,,0.0,False,exceeds tolerance
WDBC__12,WDBC,perimeter error,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__12,WDBC,perimeter error,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__12,WDBC,perimeter error,Scatter,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__12,WDBC,perimeter error,Stacked bar,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__13,WDBC,area error,Heatmap,10 common bins,22.0,23.075826100237705,0.7018609057005493,True,22.350930452850275,0.04474086669946558,True,qualified
WDBC__13,WDBC,area error,Histogram,10 common bins,22.0,23.075826100237705,0.7018609057005493,True,22.350930452850275,0.04474086669946558,True,qualified
WDBC__13,WDBC,area error,Violin,64-point density per group,130.0,9.790916548088871,0.297794823302528,True,130.14889741165126,0.007683507274265064,False,qualified
WDBC__13,WDBC,area error,Dot,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__13,WDBC,area error,Raincloud,Individual observations,569.0,0.0,0.0,True,569.0,0.0017574692442882249,False,qualified
WDBC__13,WDBC,area error,Area,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__13,WDBC,area error,Bar,Mean bars,2.0,67.57776649568889,2.0554060423169793,False,,0.0,False,exceeds tolerance
WDBC__13,WDBC,area error,Box,Min-max box with mean markers,12.0,266.87,8.116962707669916,False,,0.0,False,exceeds tolerance
WDBC__13,WDBC,area error,Bubble,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__13,WDBC,area error,Forest,Mean contrast with interval,3.0,67.57776649568889,2.0554060423169793,False,,0.0,False,exceeds tolerance
WDBC__13,WDBC,area error,Interval,Means with intervals,6.0,67.57776649568889,2.0554060423169793,False,,0.0,False,exceeds tolerance
WDBC__13,WDBC,area error,Line,No configuration for this input schema,,,,False,,0.0,False,input mismatch
WDBC__13,WDBC,area error,Pie / donut,No configuration for this input schema,,,,False,,0.0,False,input mismatch
