key,family,configuration,retained_values,error,error_ratio,qualifies,retention_cost,score,selected
WDBC__07,Bar,Mean bars,2,0.03379849620985835,1.6373323002330622,False,,0.0,False
WDBC__07,Dot,Mean dots,2,0.03379849620985835,1.6373323002330622,False,,0.0,False
WDBC__07,Interval,Means with intervals,6,0.03379849620985835,1.6373323002330622,False,,0.0,False
WDBC__07,Forest,Mean contrast with interval,3,0.03379849620985835,1.6373323002330622,False,,0.0,False
WDBC__07,Box,Min-max box with mean markers,12,0.0139736018957346,0.6769363226228609,True,12.33846816131143,0.08104733804278927,True
WDBC__07,Dot,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__07,Raincloud,Individual observations,569,0.0,0.0,True,569.0,0.0017574692442882249,False
WDBC__07,Histogram,10 common bins,22,0.005721259690222837,0.27716035739160816,True,22.138580178695804,0.04517001505644481,False
WDBC__07,Heatmap,10 common bins,22,0.005721259690222837,0.27716035739160816,True,22.138580178695804,0.04517001505644481,False
WDBC__07,Histogram,20 common bins,42,0.003895148104265417,0.18869631849020288,True,42.0943481592451,0.023756158337859233,False
WDBC__07,Heatmap,20 common bins,42,0.003895148104265417,0.18869631849020288,True,42.0943481592451,0.023756158337859233,False
WDBC__07,Histogram,40 common bins,82,0.00564552132895816,0.2734912928126579,True,82.13674564640633,0.012174818860062206,False
WDBC__07,Heatmap,40 common bins,82,0.00564552132895816,0.2734912928126579,True,82.13674564640633,0.012174818860062206,False
WDBC__07,Violin,64-point density per group,130,0.006819257874840716,0.33035171484459863,True,130.1651758574223,0.007682546375501845,False
WDBC__07,Violin,128-point density per group,258,0.006883058872863244,0.33344248652274566,True,258.16672124326135,0.0038734659338905864,False
WDBC__07,Violin,256-point density per group,514,0.0068902061608569695,0.3337887293087718,True,514.1668943646544,0.0019448937902462192,False
WDBC__08,Bar,Mean bars,2,0.010874784942596943,0.5802562822343659,True,2.290128141117183,0.4366567887822096,True
WDBC__08,Dot,Mean dots,2,0.010874784942596943,0.5802562822343659,True,2.290128141117183,0.4366567887822096,True
WDBC__08,Interval,Means with intervals,6,0.010874784942596943,0.5802562822343659,True,6.290128141117183,0.15897927316666574,False
