key,dataset,feature,unit,labels,stratum,mean_error_ratio,box_error_ratio,bootstrap_agreement,n_x,n_y,paired,scale,epsilon,uncertainty_radius,resolution_floor,eta,mean_difference,median_difference,iqr_difference,selected,score,Area,Bar,Box,Bubble,Dot,Forest,Heatmap,Histogram,Interval,Line,Pie / donut,Raincloud,Scatter,Stacked bar,Violin,dataset_doi,dataset_source_url
WDBC__26,WDBC,worst concavity,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.7121688927413902,2.94714121096253,0.6767676767676768,357,212,False,0.156941862328806,0.1265395762553914,0.1265395762553914,0.0156941862328806,0.1,0.2843678433486601,0.2637,0.08523,Bar; Dot,0.424433004317989,0.0,0.424433004317989,0.0,0.0,0.424433004317989,0.2979662806403487,0.0450324016436789,0.0450324016436789,0.1573295648346832,0.0,0.0,0.0017574692442882,0.0,0.0,0.007686369498477,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__27,WDBC,worst concave points,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.8178335766491789,2.277799667138186,0.5959595959595959,357,212,False,0.0400323438681821,0.0232228499999999,0.0232228499999999,0.0040032343868182,0.1,0.1077929667829395,0.10769,0.011475,Bar; Dot,0.4151243433757227,0.0,0.4151243433757227,0.0,0.0,0.4151243433757227,0.293348316223195,0.0451050033897436,0.0451050033897436,0.1560326078537554,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076839957835855,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__28,WDBC,worst symmetry,source units,"['Benign', 'Malignant']",Distribution detail required,1.7878589858119618,1.7460479496004175,0.6464646464646465,357,212,False,0.0563013353990857,0.045498009478673,0.045498009478673,0.0056301335399085,0.1,0.0532219861529517,0.0416,0.0250249999999999,Heatmap; Histogram,0.0451150301260857,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0451150301260857,0.0451150301260857,0.0,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076844362079551,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
WDBC__29,WDBC,worst fractal dimension,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.809120055992017,1.7626173156280158,0.5454545454545454,357,212,False,0.0171028422179571,0.0151669646413547,0.0151669646413547,0.0017102842217957,0.1,0.012087880001057,0.01048,0.0110024999999999,Bar; Dot,0.4158764964721687,0.0,0.4158764964721687,0.0,0.0,0.4158764964721687,0.2937237093124834,0.0451598617859334,0.0451598617859334,0.1561387504572895,0.0,0.0,0.0017574692442882,0.0,0.0,0.0076855447271199,10.24432/C5DW2B,https://doi.org/10.24432/C5DW2B
Cleveland__00,Cleveland,age,years,"['No disease', 'Disease']",Mean summary sufficient,0.9808789440884412,0.8189840127344454,0.3939393939393939,164,139,False,8.825429815634669,5.138792566906728,5.138792566906728,0.8825429815634669,0.1,4.040533426917001,6.0,-4.25,Bar; Dot,0.4015355567662814,0.0,0.4015355567662814,0.0805834758978777,0.0,0.4015355567662814,0.2864968746798916,0.0451716447172034,0.0451716447172034,0.1540727718526957,0.0,0.0,0.0033003300330033,0.0,0.0,0.0076797542457363,10.24432/C52P4X,https://doi.org/10.24432/C52P4X
Cleveland__01,Cleveland,trestbps,mmHg,"['No disease', 'Disease']",Mean summary sufficient,0.5890757366898276,0.4936747917309467,0.8787878787878788,164,139,False,17.427290882589684,15.500434782608696,15.500434782608696,1.7427290882589686,0.1,5.318345323740999,0.0,5.0,Bar; Dot,0.4358176057130474,0.0,0.4358176057130474,0.081653733749874,0.0,0.4358176057130474,0.303532707761035,0.0451277277793491,0.0451277277793491,0.1588678979959715,0.0,0.0,0.0033003300330033,0.0,0.0,0.0076830627783093,10.24432/C52P4X,https://doi.org/10.24432/C52P4X
Cleveland__02,Cleveland,chol,mg/dL,"['No disease', 'Disease']",Mean summary sufficient,0.4376790160329672,3.621680793444238,0.98989898989899,164,139,False,51.67443561904991,34.88711656441718,34.88711656441718,5.167443561904991,0.1,8.834576241445887,14.5,7.5,Bar; Dot,0.4506860439374199,0.0,0.4506860439374199,0.0,0.0,0.4506860439374199,0.3106709724139744,0.045086079780244,0.045086079780244,0.1608017056415326,0.0,0.0,0.0033003300330033,0.0,0.0,0.0076843842622132,10.24432/C52P4X,https://doi.org/10.24432/C52P4X
Cleveland__03,Cleveland,thalach,bpm,"['No disease', 'Disease']",Mean summary sufficient,0.524145712878396,0.4162751836554536,0.98989898989899,164,139,False,20.8239924584355,16.920245398773005,16.920245398773005,2.08239924584355,0.1,-19.11905597473242,-19.0,8.25,Bar; Dot,0.442072410335241,0.0,0.442072410335241,0.0819125761385104,0.0,0.442072410335241,0.3065535455549501,0.0452393424482899,0.0452393424482899,0.1596915307319867,0.0,0.0,0.0033003300330033,0.0,0.0,0.0076853361915181,10.24432/C52P4X,https://doi.org/10.24432/C52P4X
Cleveland__04,Cleveland,oldpeak,source units,"['No disease', 'Disease']",Quartile summary sufficient,1.4107362193868598,0.5693581780538303,0.7373737373737373,164,139,False,1.0530090571316797,0.7000000000000001,0.7000000000000001,0.1053009057131679,0.1,0.987515353570802,1.2,0.925,Box,0.0814022078031516,0.0,0.0,0.0814022078031516,0.0,0.0033003300330033,0.0,0.0446512791198479,0.0446512791198479,0.0,0.0,0.0,0.0033003300330033,0.0,0.0,0.0076778725091994,10.24432/C52P4X,https://doi.org/10.24432/C52P4X
HeartFailure__00,HeartFailure,age,years,"['Survived', 'Died']",Mean summary sufficient,0.64818070831098,0.6058229585334778,0.8181818181818182,203,96,False,11.52491033330266,10.099999999999994,10.099999999999994,1.152491033330266,0.1,6.453374846059106,5.0,5.0,Bar; Dot,0.4302758703903198,0.0,0.4302758703903198,0.0812815732020206,0.0,0.4302758703903198,0.3008341812219053,0.0451221157897658,0.0451221157897658,0.1581255080175935,0.0,0.0,0.0033444816053511,0.0,0.0,0.0076816100842293,10.24432/C5Z89R,https://doi.org/10.24432/C5Z89R
HeartFailure__01,HeartFailure,creatinine_phosphokinase,source units,"['Survived', 'Died']",Mean summary sufficient,0.1025111518647242,0.5329803911055178,0.9595959595959596,203,96,False,970.005938479382,3730.047368421051,3730.047368421051,97.0005938479382,0.1,130.14372947454842,14.0,-19.75,Bar; Dot,0.4875062921135352,0.0,0.4875062921135352,0.0815229119379683,0.0,0.4875062921135352,0.3277339361172435,0.0453928232807483,0.0453928232807483,0.1652549603056424,0.0,0.0,0.0033444816053511,0.0,0.0,0.0076889352911522,10.24432/C5Z89R,https://doi.org/10.24432/C5Z89R
HeartFailure__02,HeartFailure,ejection_fraction,%,"['Survived', 'Died']",Mean summary sufficient,0.4545006587711963,0.62853359814631,1.0,203,96,False,11.419096433615184,14.955445544554443,14.955445544554443,1.1419096433615186,0.1,-6.797259852216747,-8.0,3.0,Bar; Dot,0.448984106908116,0.0,0.448984106908116,0.0812066212561892,0.0,0.448984106908116,0.3098613054260279,0.0449935112690642,0.0449935112690642,0.1605845191867633,0.0,0.0,0.0033444816053511,0.0,0.0,0.0076820442779723,10.24432/C5Z89R,https://doi.org/10.24432/C5Z89R
HeartFailure__03,HeartFailure,platelets,source units,"['Survived', 'Died']",Mean summary sufficient,0.3053525444218572,1.8530720030001275,0.98989898989899,203,96,False,97850.40155228524,101048.42105263156,101048.42105263156,9785.040155228524,0.1,-10276.445109811146,-4500.0,31000.0,Bar; Dot,0.4645380324524781,0.0,0.4645380324524781,0.0,0.0,0.4645380324524781,0.3171908288885981,0.0452629994492927,0.0452629994492927,0.1625308980608296,0.0,0.0,0.0033444816053511,0.0,0.0,0.00768678534352,10.24432/C5Z89R,https://doi.org/10.24432/C5Z89R
HeartFailure__04,HeartFailure,serum_creatinine,mg/dL,"['Survived', 'Died']",Mean summary sufficient,0.5047258242247332,0.4627182531086182,0.8686868686868687,203,96,False,0.9903650404345196,2.429578947368419,2.429578947368419,0.0990365040434519,0.1,0.6509564860426931,0.3,0.5249999999999998,Bar; Dot,0.4439781860296018,0.0,0.4439781860296018,0.0817570631074839,0.0,0.4439781860296018,0.307468762565157,0.0452926805160483,0.0452926805160483,0.159939532310697,0.0,0.0,0.0033444816053511,0.0,0.0,0.0076866682188095,10.24432/C5Z89R,https://doi.org/10.24432/C5Z89R
HeartFailure__05,HeartFailure,serum_sodium,mEq/L,"['Survived', 'Died']",Mean summary sufficient,0.5963795946427939,1.2695708185718892,0.9292929292929292,203,96,False,4.3348727080007405,4.764999999999997,4.764999999999997,0.4334872708000741,0.1,-1.841748768472911,-1.5,0.75,Bar; Dot,0.4351250715521961,0.0,0.4351250715521961,0.0,0.0,0.4351250715521961,0.3031966204043634,0.0450523683844135,0.0450523683844135,0.158775780371893,0.0,0.0,0.0033444816053511,0.0,0.0,0.007686397709454,10.24432/C5Z89R,https://doi.org/10.24432/C5Z89R
CKD__00,CKD,age,years,"['Non-CKD', 'CKD']",Quartile summary sufficient,1.1158629206854365,0.6216415264177195,0.7272727272727273,149,242,False,16.74190091808664,15.21203319502074,15.21203319502074,1.674190091808664,0.1,8.024543790559655,13.0,-5.0,Box,0.0812293525536916,0.0,0.0,0.0812293525536916,0.0,0.0025575447570332,0.0,0.0451412725682762,0.0451412725682762,0.0,0.0,0.0,0.0025575447570332,0.0,0.0,0.0076845127931986,10.24432/C5G020,https://doi.org/10.24432/C5G020
CKD__01,CKD,bp,mmHg,"['Non-CKD', 'CKD']",Mean summary sufficient,0.5863175675675677,3.1,0.98989898989899,148,240,False,13.095502108190471,20.0,20.0,1.309550210819047,0.1,8.273648648648646,10.0,0.0,Bar; Dot,0.436079702405068,0.0,0.436079702405068,0.0,0.0,0.436079702405068,0.3036598189325742,0.0449279814299151,0.0449279814299151,0.1589027123511964,0.0,0.0,0.0025773195876288,0.0,0.0,0.0076808300235443,10.24432/C5G020,https://doi.org/10.24432/C5G020
CKD__02,CKD,bgr,source units,"['Non-CKD', 'CKD']",Distribution detail required,2.166266635206563,1.2433860811879616,0.7878787878787878,144,212,False,72.06365919449946,77.29999999999998,77.29999999999998,7.206365919449947,0.1,67.69758909853249,36.0,83.0,Heatmap; Histogram,0.0451977993823094,0.0,0.0,0.0,0.0,0.0028089887640449,0.0,0.0451977993823094,0.0451977993823094,0.0,0.0,0.0,0.0028089887640449,0.0,0.0,0.0076849334386084,10.24432/C5G020,https://doi.org/10.24432/C5G020
CKD__03,CKD,bu,source units,"['Non-CKD', 'CKD']",Distribution detail required,2.606495993598204,3.9666453430299793,0.9797979797979798,144,237,False,46.76361459085069,37.75550847457627,37.75550847457627,4.6763614590850695,0.1,39.59041842475386,20.0,40.75,Heatmap; Histogram,0.0448628567162795,0.0,0.0,0.0,0.0,0.0026246719160104,0.0,0.0448628567162795,0.0448628567162795,0.0,0.0,0.0,0.0026246719160104,0.0,0.0,0.0076836167505105,10.24432/C5G020,https://doi.org/10.24432/C5G020
CKD__04,CKD,sc,source units,"['Non-CKD', 'CKD']",Distribution detail required,2.188818296232542,11.9863184079602,0.98989898989899,145,238,False,5.483923029459524,4.02,4.02,0.5483923029459524,0.1,3.545950449145175,1.35,2.625,Heatmap; Histogram,0.0236069134479144,0.0,0.0,0.0,0.0,0.0026109660574412,0.0,0.0236069134479144,0.0236069134479144,0.0,0.0,0.0,0.0026109660574412,0.0,0.0,0.0076761910730947,10.24432/C5G020,https://doi.org/10.24432/C5G020
CKD__05,CKD,sod,source units,"['Non-CKD', 'CKD']",Mean summary sufficient,0.8963439039408883,11.325,0.5858585858585859,145,168,False,9.661828598257197,8.0,8.0,0.9661828598257196,0.1,-7.829248768472894,-5.0,-1.0,Bar; Dot,0.4084680404883883,0.0,0.4084680404883883,0.0,0.0,0.4084680404883883,0.2900087391026291,0.0446969341742628,0.0446969341742628,0.1550827129686605,0.0,0.0,0.0031948881789137,0.0,0.0,0.0076764365779286,10.24432/C5G020,https://doi.org/10.24432/C5G020
CKD__06,CKD,pot,source units,"['Non-CKD', 'CKD']",Distribution detail required,1.6341867988161614,53.83333333333336,0.9696969696969696,145,167,False,3.187598840729353,0.5999999999999996,0.5999999999999996,0.3187598840729353,0.1,0.5405120792896962,-0.2000000000000001,-0.1499999999999994,Dot; Raincloud,0.0032051282051282,0.0,0.0,0.0,0.0,0.0032051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.0032051282051282,0.0,0.0,0.0,10.24432/C5G020,https://doi.org/10.24432/C5G020
