key,dataset,feature,unit,labels,stratum,mean_error_ratio,box_error_ratio,bootstrap_agreement,n_x,n_y,paired,scale,epsilon,uncertainty_radius,resolution_floor,eta,mean_difference,median_difference,iqr_difference,selected,score
WDBC__22,WDBC,worst perimeter,source units,"['Benign', 'Malignant']",Distribution detail required,1.888782776535475,1.6589827535651,0.6464646464646465,357,212,False,20.923568725165023,17.617488151658744,17.617488151658744,2.0923568725165023,0.1,54.36439181332912,51.08,22.155,Heatmap; Histogram,0.04522760040473912
WDBC__23,WDBC,worst area,source units,"['Benign', 'Malignant']",Distribution detail required,2.170708562365906,2.5434438867876112,0.898989898989899,357,212,False,387.12706496342065,383.87609164492244,383.87609164492244,38.712706496342065,0.1,863.386880978807,755.6,519.5500000000001,Heatmap; Histogram,0.0450844172429834
WDBC__24,WDBC,worst smoothness,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.5035431147563106,0.39362424160610354,0.9393939393939394,357,212,False,0.020723719108344713,0.012638957345971574,0.012638957345971574,0.0020723719108344716,0.1,0.01988574005073726,0.018049999999999983,-0.001700000000000007,Bar; Dot,0.44409478249398776
WDBC__25,WDBC,worst compactness,source units,"['Benign', 'Malignant']",Quartile summary sufficient,1.3591917270243157,0.8775038798519029,0.6060606060606061,357,212,False,0.12703094580209914,0.11176748815165877,0.11176748815165877,0.012703094580209915,0.1,0.19215155475397708,0.18655,0.08517499999999999,Box,0.08039391772016904
WDBC__26,WDBC,worst concavity,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.7121688927413902,2.94714121096253,0.6767676767676768,357,212,False,0.15694186232880603,0.12653957625539144,0.12653957625539144,0.015694186232880603,0.1,0.28436784334866017,0.2637,0.08523000000000003,Bar; Dot,0.424433004317989
WDBC__27,WDBC,worst concave points,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.8178335766491789,2.277799667138186,0.5959595959595959,357,212,False,0.04003234386818212,0.023222849999999993,0.023222849999999993,0.0040032343868182125,0.1,0.10779296678293959,0.10769,0.011475000000000013,Bar; Dot,0.41512434337572274
WDBC__28,WDBC,worst symmetry,source units,"['Benign', 'Malignant']",Distribution detail required,1.7878589858119618,1.7460479496004175,0.6464646464646465,357,212,False,0.05630133539908576,0.04549800947867302,0.04549800947867302,0.005630133539908576,0.1,0.053221986152951706,0.041600000000000026,0.02502499999999999,Heatmap; Histogram,0.04511503012608573
WDBC__29,WDBC,worst fractal dimension,source units,"['Benign', 'Malignant']",Mean summary sufficient,0.809120055992017,1.7626173156280158,0.5454545454545454,357,212,False,0.01710284221795712,0.015166964641354707,0.015166964641354707,0.0017102842217957123,0.1,0.012087880001057025,0.010480000000000017,0.011002499999999998,Bar; Dot,0.41587649647216873
Cleveland__00,Cleveland,age,years,"['No disease', 'Disease']",Mean summary sufficient,0.9808789440884412,0.8189840127344454,0.3939393939393939,164,139,False,8.825429815634669,5.138792566906728,5.138792566906728,0.8825429815634669,0.1,4.040533426917001,6.0,-4.25,Bar; Dot,0.40153555676628144
Cleveland__01,Cleveland,trestbps,mmHg,"['No disease', 'Disease']",Mean summary sufficient,0.5890757366898276,0.4936747917309467,0.8787878787878788,164,139,False,17.427290882589684,15.500434782608695,15.500434782608695,1.7427290882589686,0.1,5.318345323740999,0.0,5.0,Bar; Dot,0.43581760571304745
Cleveland__02,Cleveland,chol,mg/dL,"['No disease', 'Disease']",Mean summary sufficient,0.43767901603296727,3.621680793444238,0.98989898989899,164,139,False,51.67443561904991,34.88711656441718,34.88711656441718,5.167443561904991,0.1,8.834576241445887,14.5,7.5,Bar; Dot,0.4506860439374199
Cleveland__03,Cleveland,thalach,bpm,"['No disease', 'Disease']",Mean summary sufficient,0.524145712878396,0.41627518365545363,0.98989898989899,164,139,False,20.8239924584355,16.920245398773005,16.920245398773005,2.08239924584355,0.1,-19.11905597473242,-19.0,8.25,Bar; Dot,0.44207241033524103
Cleveland__04,Cleveland,oldpeak,source units,"['No disease', 'Disease']",Quartile summary sufficient,1.4107362193868598,0.5693581780538303,0.7373737373737373,164,139,False,1.0530090571316797,0.7000000000000001,0.7000000000000001,0.10530090571316797,0.1,0.987515353570802,1.2,0.925,Box,0.0814022078031516
HeartFailure__00,HeartFailure,age,years,"['Survived', 'Died']",Mean summary sufficient,0.64818070831098,0.6058229585334778,0.8181818181818182,203,96,False,11.52491033330266,10.099999999999994,10.099999999999994,1.152491033330266,0.1,6.453374846059106,5.0,5.0,Bar; Dot,0.43027587039031984
