scenario,n,replicate,stratum,selected
spread,640,0,Distribution detail required,Heatmap; Histogram
spread,640,1,Distribution detail required,Heatmap; Histogram
spread,640,2,Quartile summary sufficient,Box
spread,640,3,Distribution detail required,Heatmap; Histogram
spread,640,4,Distribution detail required,Heatmap; Histogram
spread,640,5,Distribution detail required,Heatmap; Histogram
spread,640,6,Distribution detail required,Heatmap; Histogram
spread,640,7,Distribution detail required,Heatmap; Histogram
spread,640,8,Distribution detail required,Heatmap; Histogram
spread,640,9,Distribution detail required,Heatmap; Histogram
spread,640,10,Quartile summary sufficient,Box
spread,640,11,Quartile summary sufficient,Box
spread,640,12,Distribution detail required,Heatmap; Histogram
spread,640,13,Quartile summary sufficient,Box
spread,640,14,Distribution detail required,Heatmap; Histogram
spread,640,15,Quartile summary sufficient,Box
spread,640,16,Distribution detail required,Heatmap; Histogram
spread,640,17,Distribution detail required,Heatmap; Histogram
spread,640,18,Distribution detail required,Heatmap; Histogram
spread,640,19,Distribution detail required,Heatmap; Histogram
shape,40,0,Mean summary sufficient,Bar; Dot
shape,40,1,Mean summary sufficient,Bar; Dot
shape,40,2,Mean summary sufficient,Bar; Dot
shape,40,3,Mean summary sufficient,Bar; Dot
shape,40,4,Mean summary sufficient,Bar; Dot
shape,40,5,Mean summary sufficient,Bar; Dot
shape,40,6,Mean summary sufficient,Bar; Dot
shape,40,7,Mean summary sufficient,Bar; Dot
shape,40,8,Mean summary sufficient,Bar; Dot
shape,40,9,Mean summary sufficient,Bar; Dot
shape,40,10,Mean summary sufficient,Bar; Dot
shape,40,11,Mean summary sufficient,Bar; Dot
shape,40,12,Mean summary sufficient,Bar; Dot
shape,40,13,Mean summary sufficient,Bar; Dot
shape,40,14,Mean summary sufficient,Bar; Dot
shape,40,15,Mean summary sufficient,Bar; Dot
shape,40,16,Mean summary sufficient,Bar; Dot
shape,40,17,Mean summary sufficient,Bar; Dot
shape,40,18,Mean summary sufficient,Bar; Dot
shape,40,19,Mean summary sufficient,Bar; Dot
shape,160,0,Mean summary sufficient,Bar; Dot
shape,160,1,Mean summary sufficient,Bar; Dot
shape,160,2,Mean summary sufficient,Bar; Dot
shape,160,3,Mean summary sufficient,Bar; Dot
shape,160,4,Mean summary sufficient,Bar; Dot
shape,160,5,Mean summary sufficient,Bar; Dot
shape,160,6,Mean summary sufficient,Bar; Dot
shape,160,7,Mean summary sufficient,Bar; Dot
shape,160,8,Mean summary sufficient,Bar; Dot
shape,160,9,Mean summary sufficient,Bar; Dot
shape,160,10,Mean summary sufficient,Bar; Dot
shape,160,11,Mean summary sufficient,Bar; Dot
shape,160,12,Mean summary sufficient,Bar; Dot
shape,160,13,Mean summary sufficient,Bar; Dot
shape,160,14,Mean summary sufficient,Bar; Dot
shape,160,15,Mean summary sufficient,Bar; Dot
shape,160,16,Mean summary sufficient,Bar; Dot
shape,160,17,Mean summary sufficient,Bar; Dot
shape,160,18,Mean summary sufficient,Bar; Dot
shape,160,19,Mean summary sufficient,Bar; Dot
shape,640,0,Mean summary sufficient,Bar; Dot
shape,640,1,Mean summary sufficient,Bar; Dot
shape,640,2,Mean summary sufficient,Bar; Dot
shape,640,3,Mean summary sufficient,Bar; Dot
shape,640,4,Mean summary sufficient,Bar; Dot
shape,640,5,Mean summary sufficient,Bar; Dot
shape,640,6,Mean summary sufficient,Bar; Dot
shape,640,7,Mean summary sufficient,Bar; Dot
shape,640,8,Mean summary sufficient,Bar; Dot
shape,640,9,Mean summary sufficient,Bar; Dot
shape,640,10,Mean summary sufficient,Bar; Dot
shape,640,11,Mean summary sufficient,Bar; Dot
shape,640,12,Mean summary sufficient,Bar; Dot
shape,640,13,Mean summary sufficient,Bar; Dot
shape,640,14,Mean summary sufficient,Bar; Dot
shape,640,15,Mean summary sufficient,Bar; Dot
shape,640,16,Mean summary sufficient,Bar; Dot
shape,640,17,Mean summary sufficient,Bar; Dot
shape,640,18,Mean summary sufficient,Bar; Dot
shape,640,19,Mean summary sufficient,Bar; Dot
