key,dataset,feature,primary,n_A,n_B,resolution,representation,N
WDBC__08,WDBC,mean symmetry,True,357,212,0.4986612708086434,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,0.5679649511900395,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,0.6469004205142944,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,0.7368062997280774,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,0.8392072506111242,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,0.9558398316330861,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,1.0886819472437184,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,1.2399863900098937,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,1.4123190444211153,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,1.6086024002397787,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,1.8321651133138896,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,2.0867984543253986,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,2.376820602755804,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,2.7071498763931694,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,3.083388138237417,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,3.511915795253308,Means,2
WDBC__08,WDBC,mean symmetry,True,357,212,4.0,Means,2
WDBC__09,WDBC,mean fractal dimension,True,357,212,0.025,Observations,569
