key,dataset,feature,primary,n_A,n_B,contract,configuration,representation,N
Cleveland__02,Cleveland,chol,True,164,139,free_parameters,means,Means,2
Cleveland__02,Cleveland,chol,True,164,139,equal,raw,Observations,303
Cleveland__03,Cleveland,thalach,True,164,139,payload,means,Means,2
Cleveland__03,Cleveland,thalach,True,164,139,legacy_box,means,Means,2
Cleveland__03,Cleveland,thalach,True,164,139,free_parameters,means,Means,2
Cleveland__03,Cleveland,thalach,True,164,139,equal,raw,Observations,303
Cleveland__04,Cleveland,oldpeak,True,164,139,payload,five_number,Five-number,10
Cleveland__04,Cleveland,oldpeak,True,164,139,legacy_box,bins_4,Binned,10
Cleveland__04,Cleveland,oldpeak,True,164,139,free_parameters,bins_4,Binned,10
Cleveland__04,Cleveland,oldpeak,True,164,139,equal,raw,Observations,303
HeartFailure__00,HeartFailure,age,True,203,96,payload,means,Means,2
HeartFailure__00,HeartFailure,age,True,203,96,legacy_box,means,Means,2
HeartFailure__00,HeartFailure,age,True,203,96,free_parameters,means,Means,2
HeartFailure__00,HeartFailure,age,True,203,96,equal,raw,Observations,299
HeartFailure__01,HeartFailure,creatinine_phosphokinase,True,203,96,payload,means,Means,2
HeartFailure__01,HeartFailure,creatinine_phosphokinase,True,203,96,legacy_box,means,Means,2
HeartFailure__01,HeartFailure,creatinine_phosphokinase,True,203,96,free_parameters,means,Means,2
HeartFailure__01,HeartFailure,creatinine_phosphokinase,True,203,96,equal,raw,Observations,299
HeartFailure__02,HeartFailure,ejection_fraction,True,203,96,payload,means,Means,2
HeartFailure__02,HeartFailure,ejection_fraction,True,203,96,legacy_box,means,Means,2
HeartFailure__02,HeartFailure,ejection_fraction,True,203,96,free_parameters,means,Means,2
HeartFailure__02,HeartFailure,ejection_fraction,True,203,96,equal,raw,Observations,299
HeartFailure__03,HeartFailure,platelets,True,203,96,payload,means,Means,2
HeartFailure__03,HeartFailure,platelets,True,203,96,legacy_box,means,Means,2
HeartFailure__03,HeartFailure,platelets,True,203,96,free_parameters,means,Means,2
HeartFailure__03,HeartFailure,platelets,True,203,96,equal,raw,Observations,299
HeartFailure__04,HeartFailure,serum_creatinine,True,203,96,payload,means,Means,2
HeartFailure__04,HeartFailure,serum_creatinine,True,203,96,legacy_box,means,Means,2
HeartFailure__04,HeartFailure,serum_creatinine,True,203,96,free_parameters,means,Means,2
HeartFailure__04,HeartFailure,serum_creatinine,True,203,96,equal,raw,Observations,299
HeartFailure__05,HeartFailure,serum_sodium,True,203,96,payload,means,Means,2
HeartFailure__05,HeartFailure,serum_sodium,True,203,96,legacy_box,means,Means,2
HeartFailure__05,HeartFailure,serum_sodium,True,203,96,free_parameters,means,Means,2
HeartFailure__05,HeartFailure,serum_sodium,True,203,96,equal,raw,Observations,299
CKD__00,CKD,age,True,149,242,payload,bins_4,Binned,10
CKD__00,CKD,age,True,149,242,legacy_box,bins_4,Binned,10
CKD__00,CKD,age,True,149,242,free_parameters,bins_4,Binned,10
CKD__00,CKD,age,True,149,242,equal,raw,Observations,391
CKD__01,CKD,bp,True,148,240,payload,bins_8,Binned,18
CKD__01,CKD,bp,True,148,240,legacy_box,bins_8,Binned,18
CKD__01,CKD,bp,True,148,240,free_parameters,bins_8,Binned,18
CKD__01,CKD,bp,True,148,240,equal,raw,Observations,388
CKD__02,CKD,bgr,True,144,212,payload,bins_4,Binned,10
CKD__02,CKD,bgr,True,144,212,legacy_box,bins_4,Binned,10
CKD__02,CKD,bgr,True,144,212,free_parameters,bins_4,Binned,10
CKD__02,CKD,bgr,True,144,212,equal,raw,Observations,356
CKD__03,CKD,bu,True,144,237,payload,bins_4,Binned,10
CKD__03,CKD,bu,True,144,237,legacy_box,bins_4,Binned,10
CKD__03,CKD,bu,True,144,237,free_parameters,bins_4,Binned,10
CKD__03,CKD,bu,True,144,237,equal,raw,Observations,381
CKD__04,CKD,sc,True,145,238,payload,bins_16,Binned,34
CKD__04,CKD,sc,True,145,238,legacy_box,bins_16,Binned,34
CKD__04,CKD,sc,True,145,238,free_parameters,bins_16,Binned,34
