scenario,n_A,n_B,replicate,seed,method,configuration,N,error,train_tolerance,test_tolerance,passes_reestimated,passes_frozen,passes_fixed,population_error,population_pass
null,20,20,16,9302016,8-bin,bins_8,18,0.6468300450619204,1.5940695151299824,1.9417862777030912,True,True,False,1.3149988879265322,False
null,20,20,16,9302016,8-grid density,density_8,18,0.3533063143491265,1.5940695151299824,1.9417862777030912,True,True,False,1.2693673554769807,False
null,20,20,17,9302017,Adaptive,means,2,0.3426908257298304,1.2722362799010067,1.166540813561033,True,True,False,0.17332461941908422,True
null,20,20,17,9302017,Fixed-budget adaptive,raw,40,0.0,1.2722362799010067,1.166540813561033,True,True,True,0.5155170208871321,False
null,20,20,17,9302017,Means,means,2,0.3426908257298304,1.2722362799010067,1.166540813561033,True,True,False,0.17332461941908422,True
null,20,20,17,9302017,Five-number,five_number,10,0.420462797430745,1.2722362799010067,1.166540813561033,True,True,False,0.33800278555037544,False
null,20,20,17,9302017,Raw,raw,40,0.0,1.2722362799010067,1.166540813561033,True,True,True,0.5155170208871321,False
null,20,20,17,9302017,8-bin,bins_8,18,0.29645656575825885,1.2722362799010067,1.166540813561033,True,True,False,0.4125636647698363,False
null,20,20,17,9302017,8-grid density,density_8,18,0.3951916828669103,1.2722362799010067,1.166540813561033,True,True,False,0.4407529366099068,False
null,20,20,18,9302018,Adaptive,means,2,0.4281108642993953,1.58498985377438,2.043418337061134,True,True,False,0.44013731617549573,False
null,20,20,18,9302018,Fixed-budget adaptive,raw,40,0.0,1.58498985377438,2.043418337061134,True,True,True,0.868189693000949,False
null,20,20,18,9302018,Means,means,2,0.4281108642993953,1.58498985377438,2.043418337061134,True,True,False,0.44013731617549573,False
null,20,20,18,9302018,Five-number,five_number,10,0.6792470940875266,1.58498985377438,2.043418337061134,True,True,False,0.8057940494988728,False
null,20,20,18,9302018,Raw,raw,40,0.0,1.58498985377438,2.043418337061134,True,True,True,0.868189693000949,False
null,20,20,18,9302018,8-bin,bins_8,18,0.6375625354153734,1.58498985377438,2.043418337061134,True,True,False,0.8215532322865201,False
null,20,20,18,9302018,8-grid density,density_8,18,0.558835112410905,1.58498985377438,2.043418337061134,True,True,False,0.8257929873888301,False
null,20,20,19,9302019,Adaptive,means,2,0.5241960745183667,2.3822905232599743,1.6799852043426398,True,True,False,0.09457898088642808,True
null,20,20,19,9302019,Fixed-budget adaptive,raw,40,0.0,2.3822905232599743,1.6799852043426398,True,True,True,0.618587861386684,False
null,20,20,19,9302019,Means,means,2,0.5241960745183667,2.3822905232599743,1.6799852043426398,True,True,False,0.09457898088642808,True
null,20,20,19,9302019,Five-number,five_number,10,0.6628455109452556,2.3822905232599743,1.6799852043426398,True,True,False,0.28395321157067355,False
null,20,20,19,9302019,Raw,raw,40,0.0,2.3822905232599743,1.6799852043426398,True,True,True,0.618587861386684,False
null,20,20,19,9302019,8-bin,bins_8,18,0.33371414393975374,2.3822905232599743,1.6799852043426398,True,True,False,0.48039853368925256,False
null,20,20,19,9302019,8-grid density,density_8,18,0.3647355008266724,2.3822905232599743,1.6799852043426398,True,True,False,0.33064214224796185,False
null,20,20,20,9302020,Adaptive,means,2,0.3833844681222427,2.2920599582657744,1.812300775325899,True,True,False,0.6548237591221351,False
null,20,20,20,9302020,Fixed-budget adaptive,raw,40,0.0,2.2920599582657744,1.812300775325899,True,True,True,1.0380344850185244,False
null,20,20,20,9302020,Means,means,2,0.3833844681222427,2.2920599582657744,1.812300775325899,True,True,False,0.6548237591221351,False
null,20,20,20,9302020,Five-number,five_number,10,0.8058743027191906,2.2920599582657744,1.812300775325899,True,True,False,0.7383507335107418,False
null,20,20,20,9302020,Raw,raw,40,0.0,2.2920599582657744,1.812300775325899,True,True,True,1.0380344850185244,False
null,20,20,20,9302020,8-bin,bins_8,18,0.3525631351153329,2.2920599582657744,1.812300775325899,True,True,False,1.1110972452037793,False
null,20,20,20,9302020,8-grid density,density_8,18,0.45497724886630686,2.2920599582657744,1.812300775325899,True,True,False,0.9340513932225147,False
null,20,20,21,9302021,Adaptive,means,2,0.6460791952665141,1.714137034451671,2.2454222571465063,True,True,False,0.08546254533375536,True
null,20,20,21,9302021,Fixed-budget adaptive,raw,40,0.0,1.714137034451671,2.2454222571465063,True,True,True,0.5601786910427773,False
null,20,20,21,9302021,Means,means,2,0.6460791952665141,1.714137034451671,2.2454222571465063,True,True,False,0.08546254533375536,True
null,20,20,21,9302021,Five-number,five_number,10,0.6552656877586183,1.714137034451671,2.2454222571465063,True,True,False,0.5990680007570256,False
