key,dataset,feature,primary,n_A,n_B,B,tolerance,configuration,detail,stream
CKD__04,CKD,sc,True,145,238,99,4.200000000000001,bins_16,Distribution,nested
CKD__04,CKD,sc,True,145,238,499,4.400000000000001,bins_16,Distribution,nested
CKD__04,CKD,sc,True,145,238,999,4.300000000000002,bins_16,Distribution,nested
CKD__04,CKD,sc,True,145,238,999,4.300000000000002,bins_16,Distribution,independent
CKD__05,CKD,sod,True,145,168,99,9.0,means,Mean,nested
CKD__05,CKD,sod,True,145,168,499,9.0,means,Mean,nested
CKD__05,CKD,sod,True,145,168,999,9.0,means,Mean,nested
CKD__05,CKD,sod,True,145,168,999,9.0,means,Mean,independent
CKD__06,CKD,pot,True,145,167,99,0.5999999999999998,bins_32,Distribution,nested
CKD__06,CKD,pot,True,145,167,499,0.6000000000000005,bins_32,Distribution,nested
CKD__06,CKD,pot,True,145,167,999,0.5999999999999996,bins_32,Distribution,nested
CKD__06,CKD,pot,True,145,167,999,0.5999999999999996,bins_32,Distribution,independent
CKD__07,CKD,hemo,True,144,204,99,1.407,bins_8,Distribution,nested
CKD__07,CKD,hemo,True,144,204,499,1.3999999999999995,bins_8,Distribution,nested
CKD__07,CKD,hemo,True,144,204,999,1.3999999999999995,bins_8,Distribution,nested
CKD__07,CKD,hemo,True,144,204,999,1.395566502463054,bins_8,Distribution,independent
CKD__08,CKD,pcv,True,146,183,99,4.074999999999996,bins_8,Distribution,nested
CKD__08,CKD,pcv,True,146,183,499,4.0,bins_8,Distribution,nested
CKD__08,CKD,pcv,True,146,183,999,4.0,bins_8,Distribution,nested
CKD__08,CKD,pcv,True,146,183,999,4.0,bins_8,Distribution,independent
CKD__09,CKD,wc,True,143,151,99,2419.999999999999,bins_4,Distribution,nested
CKD__09,CKD,wc,True,143,151,499,2600.0,bins_4,Distribution,nested
CKD__09,CKD,wc,True,143,151,999,2500.0,bins_4,Distribution,nested
CKD__09,CKD,wc,True,143,151,999,2600.0,bins_4,Distribution,independent
CKD__10,CKD,rc,True,143,126,99,0.5100000000000002,means,Mean,nested
CKD__10,CKD,rc,True,143,126,499,0.5956799999999992,means,Mean,nested
CKD__10,CKD,rc,True,143,126,999,0.5683802816901417,means,Mean,nested
CKD__10,CKD,rc,True,143,126,999,0.5148591549295779,means,Mean,independent
ILPD__00,ILPD,age,True,167,416,99,9.019999999999998,means,Mean,nested
ILPD__00,ILPD,age,True,167,416,499,9.0,means,Mean,nested
ILPD__00,ILPD,age,True,167,416,999,9.0,means,Mean,nested
ILPD__00,ILPD,age,True,167,416,999,9.0,means,Mean,independent
ILPD__01,ILPD,total_bilirubin,True,167,416,99,5.107999999999998,bins_16,Distribution,nested
ILPD__01,ILPD,total_bilirubin,True,167,416,499,5.2620000000000005,bins_16,Distribution,nested
ILPD__01,ILPD,total_bilirubin,True,167,416,999,5.203999999999996,bins_16,Distribution,nested
ILPD__01,ILPD,total_bilirubin,True,167,416,999,5.020000000000001,bins_16,Distribution,independent
ILPD__02,ILPD,direct_bilirubin,True,167,416,99,2.807999999999999,bins_8,Distribution,nested
ILPD__02,ILPD,direct_bilirubin,True,167,416,499,2.8,bins_8,Distribution,nested
ILPD__02,ILPD,direct_bilirubin,True,167,416,999,2.781999999999999,bins_8,Distribution,nested
ILPD__02,ILPD,direct_bilirubin,True,167,416,999,2.8000000000000007,bins_8,Distribution,independent
ILPD__03,ILPD,alkaline_phosphatase,True,167,416,99,213.32,five_number,Quartiles,nested
ILPD__03,ILPD,alkaline_phosphatase,True,167,416,499,209.04,five_number,Quartiles,nested
ILPD__03,ILPD,alkaline_phosphatase,True,167,416,999,216.35499999999976,five_number,Quartiles,nested
ILPD__03,ILPD,alkaline_phosphatase,True,167,416,999,215.08499999999913,five_number,Quartiles,independent
ILPD__04,ILPD,ALT,True,167,416,99,168.7999999999999,bins_16,Distribution,nested
ILPD__04,ILPD,ALT,True,167,416,499,168.84499999999994,bins_16,Distribution,nested
ILPD__04,ILPD,ALT,True,167,416,999,171.2,bins_16,Distribution,nested
ILPD__04,ILPD,ALT,True,167,416,999,166.86499999999978,bins_16,Distribution,independent
ILPD__05,ILPD,AST,True,167,416,99,216.58000000000007,density_16,Distribution,nested
ILPD__05,ILPD,AST,True,167,416,499,216.04,density_16,Distribution,nested
ILPD__05,ILPD,AST,True,167,416,999,212.0999999999999,density_16,Distribution,nested
ILPD__05,ILPD,AST,True,167,416,999,217.03999999999996,density_16,Distribution,independent
ILPD__06,ILPD,total_protein,True,167,416,99,0.7240000000000012,means,Mean,nested
ILPD__06,ILPD,total_protein,True,167,416,499,0.7000000000000002,means,Mean,nested
ILPD__06,ILPD,total_protein,True,167,416,999,0.7000000000000002,means,Mean,nested
ILPD__06,ILPD,total_protein,True,167,416,999,0.6999999999999993,means,Mean,independent
ILPD__07,ILPD,albumin,True,167,416,99,0.5,means,Mean,nested
ILPD__07,ILPD,albumin,True,167,416,499,0.49999999999999956,means,Mean,nested
ILPD__07,ILPD,albumin,True,167,416,999,0.49999999999999956,means,Mean,nested
ILPD__07,ILPD,albumin,True,167,416,999,0.49999999999999917,means,Mean,independent
ILPD__08,ILPD,albumin_globulin_ratio,True,165,414,99,0.30000000000000004,means,Mean,nested
ILPD__08,ILPD,albumin_globulin_ratio,True,165,414,499,0.30000000000000004,means,Mean,nested
ILPD__08,ILPD,albumin_globulin_ratio,True,165,414,999,0.30000000000000004,means,Mean,nested
ILPD__08,ILPD,albumin_globulin_ratio,True,165,414,999,0.30000000000000004,means,Mean,independent
Parkinsons__00,Parkinsons,MDVP:Fo(Hz),False,8,24,99,95.85494720496891,means,Mean,nested
Parkinsons__00,Parkinsons,MDVP:Fo(Hz),False,8,24,499,101.40685714285715,means,Mean,nested
Parkinsons__00,Parkinsons,MDVP:Fo(Hz),False,8,24,999,100.5907649068323,means,Mean,nested
Parkinsons__00,Parkinsons,MDVP:Fo(Hz),False,8,24,999,100.19211428571427,means,Mean,independent
Parkinsons__01,Parkinsons,MDVP:Fhi(Hz),False,8,24,99,225.18884782608697,means,Mean,nested
Parkinsons__01,Parkinsons,MDVP:Fhi(Hz),False,8,24,499,221.62065217391304,means,Mean,nested
Parkinsons__01,Parkinsons,MDVP:Fhi(Hz),False,8,24,999,220.183,means,Mean,nested
Parkinsons__01,Parkinsons,MDVP:Fhi(Hz),False,8,24,999,220.32676521739117,means,Mean,independent
Parkinsons__02,Parkinsons,MDVP:Flo(Hz),False,8,24,99,96.43354285714281,means,Mean,nested
Parkinsons__02,Parkinsons,MDVP:Flo(Hz),False,8,24,499,107.88950000000001,means,Mean,nested
Parkinsons__02,Parkinsons,MDVP:Flo(Hz),False,8,24,999,106.19204285714284,means,Mean,nested
Parkinsons__02,Parkinsons,MDVP:Flo(Hz),False,8,24,999,102.17583043478264,means,Mean,independent
Parkinsons__03,Parkinsons,MDVP:Jitter(%),False,8,24,99,0.00923804347826087,means,Mean,nested
Parkinsons__03,Parkinsons,MDVP:Jitter(%),False,8,24,499,0.009263913043478261,means,Mean,nested
Parkinsons__03,Parkinsons,MDVP:Jitter(%),False,8,24,999,0.009330000000000001,means,Mean,nested
Parkinsons__03,Parkinsons,MDVP:Jitter(%),False,8,24,999,0.009181347826086955,means,Mean,independent
Parkinsons__04,Parkinsons,MDVP:Jitter(Abs),False,8,24,99,5.3043478260869554e-05,means,Mean,nested
Parkinsons__04,Parkinsons,MDVP:Jitter(Abs),False,8,24,499,4.999999999999999e-05,means,Mean,nested
Parkinsons__04,Parkinsons,MDVP:Jitter(Abs),False,8,24,999,4.999999999999999e-05,means,Mean,nested
Parkinsons__04,Parkinsons,MDVP:Jitter(Abs),False,8,24,999,4.999999999999999e-05,means,Mean,independent
Parkinsons__05,Parkinsons,MDVP:RAP,False,8,24,99,0.005918086956521739,means,Mean,nested
Parkinsons__05,Parkinsons,MDVP:RAP,False,8,24,499,0.0059458695652173914,means,Mean,nested
Parkinsons__05,Parkinsons,MDVP:RAP,False,8,24,999,0.0059458695652173914,means,Mean,nested
Parkinsons__05,Parkinsons,MDVP:RAP,False,8,24,999,0.006229565217391306,means,Mean,independent
Parkinsons__06,Parkinsons,MDVP:PPQ,False,8,24,99,0.005233131521739129,means,Mean,nested
Parkinsons__06,Parkinsons,MDVP:PPQ,False,8,24,499,0.005138699999999994,means,Mean,nested
Parkinsons__06,Parkinsons,MDVP:PPQ,False,8,24,999,0.005127804347826085,means,Mean,nested
Parkinsons__06,Parkinsons,MDVP:PPQ,False,8,24,999,0.005165249999999998,means,Mean,independent
Parkinsons__07,Parkinsons,Jitter:DDP,False,8,24,99,0.01773717391304348,means,Mean,nested
Parkinsons__07,Parkinsons,Jitter:DDP,False,8,24,499,0.017894565217391308,means,Mean,nested
Parkinsons__07,Parkinsons,Jitter:DDP,False,8,24,999,0.01868673913043479,means,Mean,nested
Parkinsons__07,Parkinsons,Jitter:DDP,False,8,24,999,0.01874760869565218,means,Mean,independent
Parkinsons__08,Parkinsons,MDVP:Shimmer,False,8,24,99,0.017295043478260868,bins_4,Quartiles,nested
Parkinsons__08,Parkinsons,MDVP:Shimmer,False,8,24,499,0.020178630434782605,bins_4,Quartiles,nested
Parkinsons__08,Parkinsons,MDVP:Shimmer,False,8,24,999,0.019857900621118016,bins_4,Quartiles,nested
Parkinsons__08,Parkinsons,MDVP:Shimmer,False,8,24,999,0.01990121739130434,bins_4,Quartiles,independent
Parkinsons__09,Parkinsons,MDVP:Shimmer(dB),False,8,24,99,0.3216217391304348,means,Mean,nested
Parkinsons__09,Parkinsons,MDVP:Shimmer(dB),False,8,24,499,0.3215,means,Mean,nested
Parkinsons__09,Parkinsons,MDVP:Shimmer(dB),False,8,24,999,0.3215,means,Mean,nested
Parkinsons__09,Parkinsons,MDVP:Shimmer(dB),False,8,24,999,0.3215,means,Mean,independent
Parkinsons__10,Parkinsons,Shimmer:APQ3,False,8,24,99,0.010658978260869569,five_number,Quartiles,nested
Parkinsons__10,Parkinsons,Shimmer:APQ3,False,8,24,499,0.010587108695652171,five_number,Quartiles,nested
Parkinsons__10,Parkinsons,Shimmer:APQ3,False,8,24,999,0.010312218478260865,five_number,Quartiles,nested
Parkinsons__10,Parkinsons,Shimmer:APQ3,False,8,24,999,0.010407608695652179,five_number,Quartiles,independent
Parkinsons__11,Parkinsons,Shimmer:APQ5,False,8,24,99,0.01474291304347826,bins_4,Quartiles,nested
Parkinsons__11,Parkinsons,Shimmer:APQ5,False,8,24,499,0.015050413043478258,bins_4,Quartiles,nested
Parkinsons__11,Parkinsons,Shimmer:APQ5,False,8,24,999,0.01489630434782609,bins_4,Quartiles,nested
Parkinsons__11,Parkinsons,Shimmer:APQ5,False,8,24,999,0.015015136956521742,bins_4,Quartiles,independent
Parkinsons__12,Parkinsons,MDVP:APQ,False,8,24,99,0.025092956521739124,means,Mean,nested
Parkinsons__12,Parkinsons,MDVP:APQ,False,8,24,499,0.02546,means,Mean,nested
Parkinsons__12,Parkinsons,MDVP:APQ,False,8,24,999,0.02546,means,Mean,nested
Parkinsons__12,Parkinsons,MDVP:APQ,False,8,24,999,0.02546,means,Mean,independent
Parkinsons__13,Parkinsons,Shimmer:DDA,False,8,24,99,0.031050918478260862,five_number,Quartiles,nested
Parkinsons__13,Parkinsons,Shimmer:DDA,False,8,24,499,0.03024586956521739,five_number,Quartiles,nested
Parkinsons__13,Parkinsons,Shimmer:DDA,False,8,24,999,0.02983217934782608,five_number,Quartiles,nested
Parkinsons__13,Parkinsons,Shimmer:DDA,False,8,24,999,0.03104199999999996,five_number,Quartiles,independent
