key,dataset,feature,primary,n_A,n_B,detail,representation,configuration,N,error,error_ratio,scale,tolerance,agreement,provisional
HeartFailure__05,HeartFailure,serum_sodium,True,203,96,Mean,Means,means,2,2.841748768472911,0.5683497536945836,4.3348727080007405,4.999999999999988,0.9159159159159159,False
CKD__00,CKD,age,True,149,242,Quartiles,Binned,bins_4,10,8.060526315789478,0.5037828947368423,16.74190091808664,16.0,0.5435435435435435,True
CKD__01,CKD,bp,True,148,240,Distribution,Binned,bins_8,18,9.238829432950538,0.9238829432950538,13.095502108190471,10.0,0.98998998998999,False
CKD__02,CKD,bgr,True,144,212,Distribution,Binned,bins_4,10,39.715936018957336,0.5439794003418347,72.06365919449946,73.00999999999998,0.9099099099099099,False
CKD__03,CKD,bu,True,144,237,Distribution,Binned,bins_4,10,37.82546874999997,0.992794455380579,46.76361459085069,38.09999999999991,0.97997997997998,False
CKD__04,CKD,sc,True,145,238,Distribution,Binned,bins_16,34,4.173734177215195,0.9706358551663241,5.483923029459524,4.300000000000002,0.992992992992993,False
CKD__05,CKD,sod,True,145,168,Mean,Means,means,2,7.170751231527106,0.7967501368363451,9.661828598257197,9.0,0.6206206206206206,True
CKD__06,CKD,pot,True,145,167,Distribution,Binned,bins_32,66,0.5338269788402457,0.88971163140041,3.187598840729353,0.5999999999999996,0.9409409409409409,False
CKD__07,CKD,hemo,True,144,204,Distribution,Binned,bins_8,18,0.6938983488132102,0.49564167772372175,1.8648394877891774,1.3999999999999995,0.7817817817817818,True
CKD__08,CKD,pcv,True,146,183,Distribution,Binned,bins_8,18,1.5107314560439598,0.37768286401098994,6.041875681463431,4.0,0.974974974974975,False
CKD__09,CKD,wc,True,143,151,Distribution,Binned,bins_4,10,2385.8333333333394,0.9543333333333358,2869.093332053087,2500.0,0.8368368368368369,False
CKD__10,CKD,rc,True,143,126,Mean,Means,means,2,0.4662171162171158,0.8202556127224675,0.7345135356551953,0.5683802816901417,0.7427427427427428,True
ILPD__00,ILPD,age,True,167,416,Mean,Means,means,2,4.9143251957623235,0.5460361328624804,16.050188765053708,9.0,0.992992992992993,False
ILPD__01,ILPD,total_bilirubin,True,167,416,Distribution,Binned,bins_16,34,3.2195771279562715,0.6186735449570088,6.06230723635571,5.203999999999996,0.984984984984985,False
ILPD__02,ILPD,direct_bilirubin,True,167,416,Distribution,Binned,bins_8,18,1.6219857478695285,0.5830286656612254,2.724500610788553,2.781999999999999,0.975975975975976,False
ILPD__03,ILPD,alkaline_phosphatase,True,167,416,Quartiles,Five-number,five_number,10,113.6204819277109,0.525157643353336,238.95604098321152,216.35499999999976,0.4754754754754755,True
ILPD__04,ILPD,ALT,True,167,416,Distribution,Binned,bins_16,34,81.34289676126141,0.4751337427643775,180.3204128629913,171.2,0.8608608608608609,False
ILPD__05,ILPD,AST,True,167,416,Distribution,Density,density_16,34,195.12001744983007,0.9199435051854321,285.8100281658253,212.0999999999999,0.960960960960961,False
ILPD__06,ILPD,total_protein,True,167,416,Mean,Means,means,2,0.2160208429295274,0.30860120418503906,1.0857192776743458,0.7000000000000002,0.996996996996997,False
ILPD__07,ILPD,albumin,True,167,416,Mean,Means,means,2,0.21626554583141422,0.4325310916628288,0.7857657472472728,0.49999999999999956,0.990990990990991,False
ILPD__08,ILPD,albumin_globulin_ratio,True,165,414,Mean,Means,means,2,0.11539701361440491,0.3846567120480163,0.3155840808565631,0.30000000000000004,1.0,False
Parkinsons__00,Parkinsons,MDVP:Fo(Hz),False,8,24,Mean,Means,means,2,35.30020199275363,0.35092885540187374,38.843281639596135,100.5907649068323,1.0,False
Parkinsons__01,Parkinsons,MDVP:Fhi(Hz),False,8,24,Mean,Means,means,2,42.92535869565222,0.1949531012641858,64.61290001024048,220.183,0.988988988988989,False
Parkinsons__02,Parkinsons,MDVP:Flo(Hz),False,8,24,Mean,Means,means,2,41.59172916666667,0.3916652137733036,38.37775959984923,106.19204285714284,1.0,False
Parkinsons__03,Parkinsons,MDVP:Jitter(%),False,8,24,Mean,Means,means,2,0.007640624999999989,0.8189308681672012,0.003408574466816492,0.009330000000000001,0.9379379379379379,False
Parkinsons__04,Parkinsons,MDVP:Jitter(Abs),False,8,24,Mean,Means,means,2,2.897916666666667e-05,0.5795833333333335,2.5069770696553603e-05,4.999999999999999e-05,0.7177177177177178,True
Parkinsons__05,Parkinsons,MDVP:RAP,False,8,24,Mean,Means,means,2,0.0044462916666666566,0.7477950227292098,0.0020551569705526416,0.0059458695652173914,0.9569569569569569,False
Parkinsons__06,Parkinsons,MDVP:PPQ,False,8,24,Mean,Means,means,2,0.004380249999999997,0.8542155087990025,0.002041852100422555,0.005127804347826085,0.8198198198198198,False
Parkinsons__07,Parkinsons,Jitter:DDP,False,8,24,Mean,Means,means,2,0.013327874999999975,0.7132263637315449,0.006163952998076803,0.01868673913043479,0.98998998998999,False
Parkinsons__08,Parkinsons,MDVP:Shimmer,False,8,24,Quartiles,Binned,bins_4,10,0.00392439440993789,0.19762383168362052,0.014655452568924643,0.019857900621118016,0.6456456456456456,True
Parkinsons__09,Parkinsons,MDVP:Shimmer(dB),False,8,24,Mean,Means,means,2,0.2323249999999999,0.7226283048211505,0.15409457323345296,0.3215,0.7347347347347347,True
Parkinsons__10,Parkinsons,Shimmer:APQ3,False,8,24,Quartiles,Five-number,five_number,10,0.0019119565217391374,0.18540690596981854,0.007755797600737859,0.010312218478260865,0.6476476476476476,True
Parkinsons__11,Parkinsons,Shimmer:APQ5,False,8,24,Quartiles,Binned,bins_4,10,0.00267160326086956,0.179346715701297,0.009586794795156743,0.01489630434782609,0.7447447447447447,True
Parkinsons__12,Parkinsons,MDVP:APQ,False,8,24,Mean,Means,means,2,0.02339749999999998,0.918990573448546,0.01276053412871107,0.02546,0.6356356356356356,True
Parkinsons__13,Parkinsons,Shimmer:DDA,False,8,24,Quartiles,Five-number,five_number,10,0.005754130434782609,0.1928833414311691,0.023267104737847044,0.02983217934782608,0.6916916916916916,True
Parkinsons__14,Parkinsons,NHR,False,8,24,Mean,Means,means,2,0.02938137499999998,0.3102737736944926,0.02754780414154336,0.09469500000000002,0.9079079079079079,False
Parkinsons__15,Parkinsons,HNR,False,8,24,Mean,Means,means,2,2.9344420289855044,0.3911977062527408,3.9926634373073706,7.501173913043477,1.0,False
Parkinsons__16,Parkinsons,RPDE,False,8,24,Mean,Means,means,2,0.0704567797619049,0.4860691090286958,0.09462365337552732,0.1449521857142857,0.978978978978979,False
Parkinsons__17,Parkinsons,DFA,False,8,24,Mean,Means,means,2,0.02747410326086941,0.2525170609679207,0.05307493136567236,0.10880097826086954,1.0,False
Parkinsons__18,Parkinsons,spread1,False,8,24,Mean,Means,means,2,0.5969473541666646,0.4926057183925285,0.8001897667019939,1.21181572173913,0.8798798798798799,False
Parkinsons__19,Parkinsons,spread2,False,8,24,Mean,Means,means,2,0.0379418786231884,0.34423590924473363,0.059088316009726305,0.11022057142857145,1.0,False
Parkinsons__20,Parkinsons,D2,False,8,24,Mean,Means,means,2,0.25211546249999994,0.4909112436653006,0.3031999556704237,0.5135662826086955,0.980980980980981,False
Parkinsons__21,Parkinsons,PPE,False,8,24,Mean,Means,means,2,0.0750795018115942,0.612548864815689,0.06849673427317743,0.12256900000000001,0.8688688688688688,False
Retinopathy__00,Retinopathy,feature_2,True,540,611,Distribution,Binned,bins_4,10,8.394604941850034,0.8836426254578983,24.510247671043043,9.5,0.9569569569569569,False
Retinopathy__01,Retinopathy,feature_3,True,540,611,Distribution,Binned,bins_4,10,6.528177981237942,0.8160222476547427,23.2450195886025,8.0,0.7787787787787788,True
Retinopathy__02,Retinopathy,feature_4,True,540,611,Mean,Means,means,2,7.720212765957445,0.9650265957446806,22.17808976637167,8.0,0.37237237237237236,True
