key,dataset,feature,primary,n_A,n_B,setting,configuration,detail,tolerance
WDBC__11,WDBC,texture error,True,357,212,percentile_0.8,means,Mean,0.3111797752808987
WDBC__11,WDBC,texture error,True,357,212,percentile_0.9,means,Mean,0.3710247191011238
WDBC__11,WDBC,texture error,True,357,212,percentile_0.95,means,Mean,0.43198289099525417
WDBC__11,WDBC,texture error,True,357,212,percentile_0.99,means,Mean,0.5396551123595515
WDBC__11,WDBC,texture error,True,357,212,band_0.01_0.99,means,Mean,1.2812999999999986
WDBC__11,WDBC,texture error,True,357,212,band_0.1_0.9,means,Mean,0.30097595718621845
WDBC__11,WDBC,texture error,True,357,212,fixed_0.05,raw,Distribution,0.027605780343047948
WDBC__11,WDBC,texture error,True,357,212,fixed_0.1,raw,Distribution,0.055211560686095895
WDBC__11,WDBC,texture error,True,357,212,fixed_0.2,bins_16,Distribution,0.11042312137219179
WDBC__12,WDBC,perimeter error,True,357,212,percentile_0.8,bins_8,Distribution,1.1500644549763033
WDBC__12,WDBC,perimeter error,True,357,212,percentile_0.9,bins_8,Distribution,1.2565188242185419
WDBC__12,WDBC,perimeter error,True,357,212,percentile_0.95,bins_8,Distribution,1.3863299999999998
WDBC__12,WDBC,perimeter error,True,357,212,percentile_0.99,bins_8,Distribution,1.6205665930028208
WDBC__12,WDBC,perimeter error,True,357,212,band_0.01_0.99,means,Mean,10.331581999999948
WDBC__12,WDBC,perimeter error,True,357,212,band_0.1_0.9,bins_8,Distribution,1.319676404494387
WDBC__12,WDBC,perimeter error,True,357,212,fixed_0.05,raw,Distribution,0.08409102474239526
WDBC__12,WDBC,perimeter error,True,357,212,fixed_0.1,raw,Distribution,0.1681820494847905
WDBC__12,WDBC,perimeter error,True,357,212,fixed_0.2,bins_32,Distribution,0.336364098969581
WDBC__13,WDBC,area error,True,357,212,percentile_0.8,bins_16,Distribution,21.356170616113747
WDBC__13,WDBC,area error,True,357,212,percentile_0.9,bins_16,Distribution,24.19999999999999
WDBC__13,WDBC,area error,True,357,212,percentile_0.95,bins_16,Distribution,27.48239810426537
WDBC__13,WDBC,area error,True,357,212,percentile_0.99,bins_16,Distribution,35.19543999999975
WDBC__13,WDBC,area error,True,357,212,band_0.01_0.99,means,Mean,323.83829383886257
WDBC__13,WDBC,area error,True,357,212,band_0.1_0.9,bins_16,Distribution,18.335549763033168
WDBC__13,WDBC,area error,True,357,212,fixed_0.05,raw,Distribution,1.9039370725097289
WDBC__13,WDBC,area error,True,357,212,fixed_0.1,raw,Distribution,3.8078741450194578
WDBC__13,WDBC,area error,True,357,212,fixed_0.2,bins_64,Distribution,7.6157482900389155
WDBC__14,WDBC,smoothness error,True,357,212,percentile_0.8,bins_8,Distribution,0.001483269662921348
WDBC__14,WDBC,smoothness error,True,357,212,percentile_0.9,bins_8,Distribution,0.001724143820224733
WDBC__14,WDBC,smoothness error,True,357,212,percentile_0.95,bins_4,Distribution,0.001959723595505616
WDBC__14,WDBC,smoothness error,True,357,212,percentile_0.99,means,Mean,0.0023455758426966277
WDBC__14,WDBC,smoothness error,True,357,212,band_0.01_0.99,means,Mean,0.015574469999999748
WDBC__14,WDBC,smoothness error,True,357,212,band_0.1_0.9,means,Mean,0.0015134952606635067
WDBC__14,WDBC,smoothness error,True,357,212,fixed_0.05,raw,Distribution,0.00014992042953714042
WDBC__14,WDBC,smoothness error,True,357,212,fixed_0.1,bins_64,Distribution,0.00029984085907428084
