key,representation,configuration,N,error
WDBC__13,Density,density_32,66,10.235935401869078
WDBC__13,Density,density_64,130,9.790916548088871
WDBC__13,Density,density_128,258,12.67424173628951
WDBC__13,Density,density_256,514,13.699764477057935
WDBC__14,Means,means,2,0.002047192378838327
WDBC__14,Five-number,five_number,10,0.009838399999999995
WDBC__14,Observations,raw,569,0.0
WDBC__14,Binned,bins_4,10,0.0017652609577114425
WDBC__14,Binned,bins_8,18,0.0009740352918813904
WDBC__14,Binned,bins_16,34,0.0006276698214589711
WDBC__14,Binned,bins_32,66,0.0004798267832062629
WDBC__14,Binned,bins_64,130,0.0001762923772739445
WDBC__14,Density,density_8,18,0.0019514953107334226
WDBC__14,Density,density_16,34,0.0006574473033981627
WDBC__14,Density,density_32,66,0.00033937651737079265
WDBC__14,Density,density_64,130,0.0003515649347118552
WDBC__14,Density,density_128,258,0.0003437078994230156
WDBC__14,Density,density_256,514,0.0003423166522596617
WDBC__15,Means,means,2,0.006328300618212098
WDBC__15,Five-number,five_number,10,0.012462415730337177
WDBC__15,Observations,raw,569,0.0
WDBC__15,Binned,bins_4,10,0.008078225968616827
WDBC__15,Binned,bins_8,18,0.003206102191424639
WDBC__15,Binned,bins_16,34,0.00287020860537504
WDBC__15,Binned,bins_32,66,0.0018111784342237543
WDBC__15,Binned,bins_64,130,0.0014525417368914106
WDBC__15,Density,density_8,18,0.01518183043598871
WDBC__15,Density,density_16,34,0.002882305050340799
WDBC__15,Density,density_32,66,0.003310694137324287
WDBC__15,Density,density_64,130,0.002993717281608542
WDBC__15,Density,density_128,258,0.003050107743731826
WDBC__15,Density,density_256,514,0.0030421016164490083
WDBC__16,Means,means,2,0.006560816027907895
WDBC__16,Five-number,five_number,10,0.21183921348314605
WDBC__16,Observations,raw,569,0.0
WDBC__16,Binned,bins_4,10,0.021822239976894857
WDBC__16,Binned,bins_8,18,0.015966330532212906
WDBC__16,Binned,bins_16,34,0.011102759201557934
WDBC__16,Binned,bins_32,66,0.0032607198033707957
WDBC__16,Binned,bins_64,130,0.0029003749999999273
WDBC__16,Density,density_8,18,0.02236930472807242
WDBC__16,Density,density_16,34,0.011402155729645105
WDBC__16,Density,density_32,66,0.005985472057225036
WDBC__16,Density,density_64,130,0.005556138352964778
WDBC__16,Density,density_128,258,0.005579339983084457
WDBC__16,Density,density_256,514,0.005450076341381026
WDBC__17,Means,means,2,0.001702855120254589
WDBC__17,Five-number,five_number,10,0.015174999999999998
WDBC__17,Observations,raw,569,0.0
WDBC__17,Binned,bins_4,10,0.004760754219484402
WDBC__17,Binned,bins_8,18,0.001200286074474464
WDBC__17,Binned,bins_16,34,0.0010359567250074397
WDBC__17,Binned,bins_32,66,0.0007365122026449554
WDBC__17,Binned,bins_64,130,0.0007673133886255887
WDBC__17,Density,density_8,18,0.0031541374327930163
WDBC__17,Density,density_16,34,0.001267479173572214
WDBC__17,Density,density_32,66,0.0009055563080967305
WDBC__17,Density,density_64,130,0.000769646349441086
WDBC__17,Density,density_128,258,0.0007107851500221252
WDBC__17,Density,density_256,514,0.0007117134430486768
WDBC__18,Means,means,2,0.010897661703463464
WDBC__18,Five-number,five_number,10,0.011571469194312803
WDBC__18,Observations,raw,569,0.0
WDBC__18,Binned,bins_4,10,0.005243722909002518
WDBC__18,Binned,bins_8,18,0.0033718366809599165
WDBC__18,Binned,bins_16,34,0.0031074710651034787
WDBC__18,Binned,bins_32,66,0.003042283254717039
WDBC__18,Binned,bins_64,130,0.0038857368598383263
WDBC__18,Density,density_8,18,0.007565218888463033
WDBC__18,Density,density_16,34,0.003754102948598556
WDBC__18,Density,density_32,66,0.003178115190803424
WDBC__18,Density,density_64,130,0.003150583823397786
WDBC__18,Density,density_128,258,0.003120718894570877
WDBC__18,Density,density_256,514,0.0031159057029488194
WDBC__19,Means,means,2,0.000930399343693386
WDBC__19,Five-number,five_number,10,0.012952649999999996
WDBC__19,Observations,raw,569,0.0
WDBC__19,Binned,bins_4,10,0.0009790429532146767
WDBC__19,Binned,bins_8,18,0.0007053374423418093
WDBC__19,Binned,bins_16,34,0.000571376777962207
WDBC__19,Binned,bins_32,66,0.0004742988151658764
WDBC__19,Binned,bins_64,130,0.000362790737359551
WDBC__19,Density,density_8,18,0.001269069256258715
WDBC__19,Density,density_16,34,0.000777474258954163
WDBC__19,Density,density_32,66,0.0005959304502059053
WDBC__19,Density,density_64,130,0.0005241260881399552
WDBC__19,Density,density_128,258,0.0005051198157589734
WDBC__19,Density,density_256,514,0.0005012103572066872
WDBC__20,Means,means,2,4.531489799693452
WDBC__20,Five-number,five_number,10,3.2488625592417044
WDBC__20,Observations,raw,569,0.0
WDBC__20,Binned,bins_4,10,3.4354436079545323
WDBC__20,Binned,bins_8,18,0.9364824593717369
WDBC__20,Binned,bins_16,34,0.4895035652549744
WDBC__20,Binned,bins_32,66,0.5493199644549733
WDBC__20,Binned,bins_64,130,0.5049723614386714
WDBC__20,Density,density_8,18,1.460532376596806
WDBC__20,Density,density_16,34,0.834090621025771
WDBC__20,Density,density_32,66,0.7983457433872196
WDBC__20,Density,density_64,130,0.7361642931424477
WDBC__20,Density,density_128,258,0.7370770814476231
WDBC__20,Density,density_256,514,0.7383149989704876
WDBC__21,Means,means,2,1.7207217888215247
WDBC__21,Five-number,five_number,10,3.1092417061611357
WDBC__21,Observations,raw,569,0.0
WDBC__21,Binned,bins_4,10,2.8215031221378197
WDBC__21,Binned,bins_8,18,0.9631571242680543
WDBC__21,Binned,bins_16,34,0.669786119623204
WDBC__21,Binned,bins_32,66,0.4992014218009544
WDBC__21,Binned,bins_64,130,0.4829307220518544
WDBC__21,Density,density_8,18,2.114054745429101
WDBC__21,Density,density_16,34,1.0455969845623017
WDBC__21,Density,density_32,66,0.9252149246761618
WDBC__21,Density,density_64,130,0.8840917476884229
WDBC__21,Density,density_128,258,0.8729336490378046
WDBC__21,Density,density_256,514,0.8712146293006384
WDBC__22,Means,means,2,33.27560818667084
WDBC__22,Five-number,five_number,10,29.227109004739347
WDBC__22,Observations,raw,569,0.0
WDBC__22,Binned,bins_4,10,21.905408413461487
WDBC__22,Binned,bins_8,18,7.50409170991005
WDBC__22,Binned,bins_16,34,3.2150092169944173
WDBC__22,Binned,bins_32,66,5.377306378329735
WDBC__22,Binned,bins_64,130,5.715502284787789
WDBC__22,Density,density_8,18,6.642277968273248
WDBC__22,Density,density_16,34,4.27152828478998
WDBC__22,Density,density_32,66,4.95994367776359
WDBC__22,Density,density_64,130,4.778707819246534
WDBC__22,Density,density_128,258,4.90296596614327
WDBC__22,Density,density_256,514,4.9452330476187
WDBC__23,Means,means,2,833.2831190211924
WDBC__23,Five-number,five_number,10,976.3672985781989
WDBC__23,Observations,raw,569,0.0
WDBC__23,Binned,bins_4,10,355.47055432978516
WDBC__23,Binned,bins_8,18,213.73322681794252
WDBC__23,Binned,bins_16,34,67.41659670503236
WDBC__23,Binned,bins_32,66,110.03268933165782
WDBC__23,Binned,bins_64,130,108.05508316782516
WDBC__23,Density,density_8,18,603.4107635794753
WDBC__23,Density,density_16,34,111.15397298163555
WDBC__23,Density,density_32,66,96.7221196492348
WDBC__23,Density,density_64,130,124.0477980909223
WDBC__23,Density,density_128,258,124.56959832160021
WDBC__23,Density,density_256,514,126.2564126022391
WDBC__24,Means,means,2,0.0063642599492626795
WDBC__24,Five-number,five_number,10,0.004974999999999952
WDBC__24,Observations,raw,569,0.0
WDBC__24,Binned,bins_4,10,0.012458580955955964
WDBC__24,Binned,bins_8,18,0.003686866536899147
WDBC__24,Binned,bins_16,34,0.003965040647432944
WDBC__24,Binned,bins_32,66,0.0036412276785714737
WDBC__24,Binned,bins_64,130,0.0036370848424865654
WDBC__24,Density,density_8,18,0.005036920377189225
WDBC__24,Density,density_16,34,0.0034036959584727022
WDBC__24,Density,density_32,66,0.0027692714573454846
WDBC__24,Density,density_64,130,0.002663010227239762
WDBC__24,Density,density_128,258,0.002630802540660615
WDBC__24,Density,density_256,514,0.002620967217895037
WDBC__25,Means,means,2,0.15191344524602282
WDBC__25,Five-number,five_number,10,0.09807640449438215
WDBC__25,Observations,raw,569,0.0
WDBC__25,Binned,bins_4,10,0.07641496862567165
WDBC__25,Binned,bins_8,18,0.0333394507447527
WDBC__25,Binned,bins_16,34,0.015883772783200162
WDBC__25,Binned,bins_32,66,0.015822369733146158
WDBC__25,Binned,bins_64,130,0.021291175454851707
WDBC__25,Density,density_8,18,0.06519571753814618
WDBC__25,Density,density_16,34,0.018156417899365646
WDBC__25,Density,density_32,66,0.024568924031036443
WDBC__25,Density,density_64,130,0.023124033865456
WDBC__25,Density,density_128,258,0.02327893890278987
WDBC__25,Density,density_256,514,0.023365193326593148
WDBC__26,Means,means,2,0.09011754990976684
WDBC__26,Five-number,five_number,10,0.37292999999999976
WDBC__26,Observations,raw,569,0.0
WDBC__26,Binned,bins_4,10,0.15926440008775777
WDBC__26,Binned,bins_8,18,0.05325766710526317
WDBC__26,Binned,bins_16,34,0.03786587482517481
WDBC__26,Binned,bins_32,66,0.019780309375
WDBC__26,Binned,bins_64,130,0.021970263364780418
WDBC__26,Density,density_8,18,0.07636311886857194
WDBC__26,Density,density_16,34,0.022441114645828153
WDBC__26,Density,density_32,66,0.023519088447314596
WDBC__26,Density,density_64,130,0.025417500174954866
WDBC__26,Density,density_128,258,0.02551590391602193
WDBC__26,Density,density_256,514,0.025829458721578158
WDBC__27,Means,means,2,0.01899242647548738
WDBC__27,Five-number,five_number,10,0.052897000000000007
WDBC__27,Observations,raw,569,0.0
WDBC__27,Binned,bins_4,10,0.01840415909967641
WDBC__27,Binned,bins_8,18,0.007923425527726471
WDBC__27,Binned,bins_16,34,0.005046777765773572
WDBC__27,Binned,bins_32,66,0.004510497968499214
WDBC__27,Binned,bins_64,130,0.003383123518957337
WDBC__27,Density,density_8,18,0.014141079266476148
WDBC__27,Density,density_16,34,0.007394888802982377
WDBC__27,Density,density_32,66,0.006261683337293419
WDBC__27,Density,density_64,130,0.006531343310808346
WDBC__27,Density,density_128,258,0.006551422222389414
WDBC__27,Density,density_256,514,0.00656875497937251
WDBC__28,Means,means,2,0.08134402508300337
WDBC__28,Five-number,five_number,10,0.07944170616113738
WDBC__28,Observations,raw,569,0.0
WDBC__28,Binned,bins_4,10,0.05296587959828486
WDBC__28,Binned,bins_8,18,0.017642447891074553
WDBC__28,Binned,bins_16,34,0.01689082403768355
WDBC__28,Binned,bins_32,66,0.013672765106635343
WDBC__28,Binned,bins_64,130,0.013842449480060082
WDBC__28,Density,density_8,18,0.023134813387629904
WDBC__28,Density,density_16,34,0.01799657269228927
WDBC__28,Density,density_32,66,0.014759446923043262
WDBC__28,Density,density_64,130,0.01211742587195147
WDBC__28,Density,density_128,258,0.01224257917247018
WDBC__28,Density,density_256,514,0.012234936072187952
WDBC__29,Means,means,2,0.012271895279841863
WDBC__29,Five-number,five_number,10,0.026733554502369666
WDBC__29,Observations,raw,569,0.0
WDBC__29,Binned,bins_4,10,0.010681580021873874
WDBC__29,Binned,bins_8,18,0.005294221260998495
WDBC__29,Binned,bins_16,34,0.0032489515777001793
WDBC__29,Binned,bins_32,66,0.001434692114017519
WDBC__29,Binned,bins_64,130,0.0014260424859550563
WDBC__29,Density,density_8,18,0.008888406607676105
WDBC__29,Density,density_16,34,0.0028844359764819555
WDBC__29,Density,density_32,66,0.0033548299676422616
WDBC__29,Density,density_64,130,0.003470040309955
WDBC__29,Density,density_128,258,0.003495303710881817
WDBC__29,Density,density_256,514,0.003502837639695333
Cleveland__00,Means,means,2,5.040533426917001
Cleveland__00,Five-number,five_number,10,4.208588957055213
Cleveland__00,Observations,raw,303,0.0
Cleveland__00,Binned,bins_4,10,2.3276227696580847
Cleveland__00,Binned,bins_8,18,1.8019429321239855
Cleveland__00,Binned,bins_16,34,1.5014864362690474
Cleveland__00,Binned,bins_32,66,1.2576992753623202
Cleveland__00,Binned,bins_64,130,1.0555555555555571
Cleveland__00,Density,density_8,18,3.409722078175882
Cleveland__00,Density,density_16,34,2.787085826671067
Cleveland__00,Density,density_32,66,2.3092675208290245
Cleveland__00,Density,density_64,130,2.183987211705464
Cleveland__00,Density,density_128,258,2.152017347735189
Cleveland__00,Density,density_256,514,2.145467357610947
Cleveland__01,Means,means,2,9.130930038577844
Cleveland__01,Five-number,five_number,10,7.65217391304347
Cleveland__01,Observations,raw,303,0.0
Cleveland__01,Binned,bins_4,10,7.1596342305037695
Cleveland__01,Binned,bins_8,18,4.816986079328785
Cleveland__01,Binned,bins_16,34,5.882119872488872
Cleveland__01,Binned,bins_32,66,4.619829136690612
Cleveland__01,Binned,bins_64,130,3.40709932054358
Cleveland__01,Density,density_8,18,5.2632417875778685
Cleveland__01,Density,density_16,34,5.080709782761019
Cleveland__01,Density,density_32,66,4.971012852207835
Cleveland__01,Density,density_64,130,4.849374470277169
Cleveland__01,Density,density_128,258,4.845638887401179
Cleveland__01,Density,density_256,514,4.844980173951669
Cleveland__02,Means,means,2,15.269358850141543
Cleveland__02,Five-number,five_number,10,126.35000000000002
Cleveland__02,Observations,raw,303,0.0
Cleveland__02,Binned,bins_4,10,13.792514688220223
Cleveland__02,Binned,bins_8,18,12.508313184519977
Cleveland__02,Binned,bins_16,34,10.513803680981596
Cleveland__02,Binned,bins_32,66,7.1198395961145025
Cleveland__02,Binned,bins_64,130,4.767663043478251
Cleveland__02,Density,density_8,18,21.829637442102182
Cleveland__02,Density,density_16,34,10.415939980672846
Cleveland__02,Density,density_32,66,9.127897892333493
Cleveland__02,Density,density_64,130,9.35282010426036
Cleveland__02,Density,density_128,258,9.164078111844105
Cleveland__02,Density,density_256,514,9.172704627507272
Cleveland__03,Means,means,2,8.868674086617276
Cleveland__03,Five-number,five_number,10,7.043478260869577
Cleveland__03,Observations,raw,303,0.0
Cleveland__03,Binned,bins_4,10,12.550908447380834
Cleveland__03,Binned,bins_8,18,4.714569428526488
Cleveland__03,Binned,bins_16,34,3.472894021739137
Cleveland__03,Binned,bins_32,66,2.4447237318840536
Cleveland__03,Binned,bins_64,130,3.5773389862804805
Cleveland__03,Density,density_8,18,8.673578480641396
Cleveland__03,Density,density_16,34,4.631726419720721
Cleveland__03,Density,density_32,66,4.290534946212034
Cleveland__03,Density,density_64,130,3.9906479451842074
Cleveland__03,Density,density_128,258,3.9380627510671076
Cleveland__03,Density,density_256,514,3.933660021799753
Cleveland__04,Means,means,2,0.987515353570802
Cleveland__04,Five-number,five_number,10,0.3985507246376812
Cleveland__04,Observations,raw,303,0.0
Cleveland__04,Binned,bins_4,10,0.7476990980034458
Cleveland__04,Binned,bins_8,18,0.5015614799582189
Cleveland__04,Binned,bins_16,34,0.3268911945542379
Cleveland__04,Binned,bins_32,66,0.1999447699040089
Cleveland__04,Binned,bins_64,130,0.17334275436793511
Cleveland__04,Density,density_8,18,0.6744029210994786
Cleveland__04,Density,density_16,34,0.440802109489716
Cleveland__04,Density,density_32,66,0.3669063558813914
Cleveland__04,Density,density_64,130,0.3421785556560415
Cleveland__04,Density,density_128,258,0.33594501584368797
Cleveland__04,Density,density_256,514,0.3349466980117832
HeartFailure__00,Means,means,2,6.546625153940894
HeartFailure__00,Five-number,five_number,10,6.1188118811881225
HeartFailure__00,Observations,raw,299,0.0
HeartFailure__00,Binned,bins_4,10,4.564379699248121
HeartFailure__00,Binned,bins_8,18,4.277808704453442
HeartFailure__00,Binned,bins_16,34,2.6154812172393704
HeartFailure__00,Binned,bins_32,66,2.6604817708333286
HeartFailure__00,Binned,bins_64,130,2.7052408854166714
HeartFailure__00,Density,density_8,18,3.931913133831607
HeartFailure__00,Density,density_16,34,3.9600568222881734
