key,dataset,kind,task,family,H,observer,loss,score,successful,winner,setting
comp_ILPD_0,ILPD,empirical,composition,Stacked bar,256,soft,0.0138130215316994,98.63751784221216,4,False,one strip
comp_ILPD_0,ILPD,empirical,composition,Bar chart,384,hard,0.0068796059731057,99.31673996252442,4,False,values
comp_ILPD_0,ILPD,empirical,composition,Bar chart,384,soft,0.0148739364984275,98.53440550954078,4,False,values
comp_ILPD_0,ILPD,empirical,composition,Pie chart,384,hard,0.001645210285163,99.83574919859151,4,True,sectors
comp_ILPD_0,ILPD,empirical,composition,Pie chart,384,soft,0.0037843279802875,99.62299391664124,4,True,sectors
comp_ILPD_0,ILPD,empirical,composition,Donut chart,384,hard,0.0018306829430964,99.8172662332802,4,False,52% hole
comp_ILPD_0,ILPD,empirical,composition,Donut chart,384,soft,0.0068546076898264,99.31920580812022,4,False,52% hole
comp_ILPD_0,ILPD,empirical,composition,Stacked bar,384,hard,0.0048227546103902,99.5200392717758,4,False,one strip
comp_ILPD_0,ILPD,empirical,composition,Stacked bar,384,soft,0.0083646426615304,99.17047441891135,4,False,one strip
comp_ILPD_1,ILPD,empirical,composition,Bar chart,256,hard,0.0091733918116144,99.09099943715847,4,False,values
comp_ILPD_1,ILPD,empirical,composition,Bar chart,256,soft,0.0203201379911932,98.00845467666652,4,False,values
comp_ILPD_1,ILPD,empirical,composition,Pie chart,256,hard,0.0026522052494907,99.73548103364207,4,False,sectors
comp_ILPD_1,ILPD,empirical,composition,Pie chart,256,soft,0.0059462133761708,99.4088935077141,4,True,sectors
comp_ILPD_1,ILPD,empirical,composition,Donut chart,256,hard,0.002628948436565,99.7377944811324,4,True,52% hole
comp_ILPD_1,ILPD,empirical,composition,Donut chart,256,soft,0.0101874975444801,98.99152409139457,4,False,52% hole
comp_ILPD_1,ILPD,empirical,composition,Stacked bar,256,hard,0.0080209396464977,99.20428839014888,4,False,one strip
comp_ILPD_1,ILPD,empirical,composition,Stacked bar,256,soft,0.012064604857816,98.80792147063468,4,False,one strip
comp_ILPD_1,ILPD,empirical,composition,Bar chart,384,hard,0.0059539622317511,99.4081277617773,4,False,values
comp_ILPD_1,ILPD,empirical,composition,Bar chart,384,soft,0.0133620804983097,98.6814110419704,4,False,values
comp_ILPD_1,ILPD,empirical,composition,Pie chart,384,hard,0.0014677844158018,99.85343668177424,4,True,sectors
comp_ILPD_1,ILPD,empirical,composition,Pie chart,384,soft,0.003546719263378,99.64658154968797,4,True,sectors
comp_ILPD_1,ILPD,empirical,composition,Donut chart,384,hard,0.0014920858496194,99.85101371536514,4,False,52% hole
