key,task,dataset,kind,observer,selected,runner_up,reference_score,runner_reference_score,reference_margin,selected_test_score,runner_test_score,default,default_test_score,default_test_loss,selected_test_loss,transfer_gain,reference_ties,selected_still_best
comp_WDBC_1,composition,WDBC,empirical,hard,Donut chart,Pie chart,99.7649201021968,99.73182416048454,0.03309594171226138,99.86639779487918,99.84667664790874,Bar chart,99.51491112395,0.00487453458553375,0.0013378093940591249,0.003536725191474625,1,True
comp_WDBC_1,composition,WDBC,empirical,soft,Pie chart,Donut chart,99.61356233789806,99.46903686753811,0.14452547035995167,99.76930821895387,99.67358227395246,Bar chart,99.29913465512776,0.00705812137544185,0.00231225198574945,0.0047458693896924,1,True
comp_Wrist_0,composition,Wrist,empirical,hard,Donut chart,Pie chart,99.64215907207719,99.61654153735572,0.02561753472147643,99.79158657426788,99.78994793891773,Bar chart,99.48776207362779,0.005148753129989226,0.002088486944508075,0.0030602661854811507,1,True
comp_Wrist_0,composition,Wrist,empirical,soft,Pie chart,Donut chart,99.35631931456173,99.01908036431573,0.3372389502460038,99.59700746690302,99.36675316781604,Bar chart,98.73703999878892,0.0127911470834712,0.0040462313411464505,0.00874491574232475,1,True
comp_Wrist_1,composition,Wrist,empirical,hard,Donut chart,Pie chart,99.63296984646746,99.60761879807289,0.02535104839456892,99.78292578825284,99.7811345642924,Bar chart,99.46420091326254,0.005386853579658225,0.00217546448986485,0.003211389089793375,1,True
comp_Wrist_1,composition,Wrist,empirical,soft,Pie chart,Donut chart,99.28165221606383,98.8577293960428,0.42392282002103343,99.54902638036816,99.26710875464448,Bar chart,98.60689065744843,0.014127910668952224,0.0045301660501299995,0.009597744618822224,1,True
profile_bidmc_01,profile,BIDMC,empirical,hard,Dot plot,Line chart,88.39501989582587,84.74363788341878,3.6513820124070833,92.0508016444717,89.2046821909729,Line chart,89.2046821909729,0.12101738993829994,0.08635664452147332,0.03466074541682662,1,True
profile_bidmc_01,profile,BIDMC,empirical,soft,Dot plot,Line chart,88.4500688776861,87.66558002712065,0.7844888505654524,91.86953349305898,90.0651808625791,Line chart,90.0651808625791,0.1103069914729799,0.0885001392497035,0.0218068522232764,1,True
profile_bidmc_02,profile,BIDMC,empirical,hard,Dot plot,Line chart,89.41027049394815,89.20830794943656,0.2019625445115878,92.8997227640796,89.6950979121414,Line chart,89.6950979121414,0.11488813020698743,0.07642947712504658,0.03845865308194085,1,True
profile_bidmc_02,profile,BIDMC,empirical,soft,Dot plot,Line chart,89.41242143729353,87.22686268372937,2.185558753564166,92.65952820734849,91.14813071253265,Line chart,91.14813071253265,0.09711520377071485,0.07921982698018265,0.0178953767905322,1,True
profile_bidmc_03,profile,BIDMC,empirical,hard,Dot plot,Line chart,92.9440653910489,90.47253123157724,2.471534159471659,94.6342976623577,93.850688532796,Line chart,93.850688532796,0.06552228399533941,0.05669934125560267,0.008822942739736737,1,True
profile_bidmc_03,profile,BIDMC,empirical,soft,Dot plot,Line chart,92.87735297371233,91.54084789777102,1.336505075941318,95.17241494213,93.93133742401746,Line chart,93.93133742401746,0.06460743285904542,0.0507246249956506,0.013882807863394825,1,True
profile_bidmc_04,profile,BIDMC,empirical,hard,Line chart,Dot plot,96.8382572267041,96.68633763724388,0.15191958946022055,97.28891850606148,97.68038726786126,Line chart,97.28891850606148,0.027866292847829474,0.027866292847829474,0.0,1,False
profile_bidmc_04,profile,BIDMC,empirical,soft,Dot plot,Line chart,96.67410470947517,96.17357026304501,0.5005344464301658,97.72296442892214,97.36665312316133,Line chart,97.36665312316133,0.027045675211899198,0.023300926086150652,0.0037447491257485456,1,True
profile_bidmc_05,profile,BIDMC,empirical,hard,Dot plot,Line chart,80.18524928807406,75.64871923263631,4.536530055437751,86.21455825486957,82.14037646572471,Line chart,82.14037646572471,0.21742807012490006,0.15989691328438493,0.05753115684051513,1,True
profile_bidmc_05,profile,BIDMC,empirical,soft,Dot plot,Line chart,80.99225208640475,80.37488585410965,0.6173662322950975,86.45864494570394,84.20731638572676,Line chart,84.20731638572676,0.18754526675487446,0.15662233733596032,0.03092292941891414,1,True
profile_bidmc_06,profile,BIDMC,empirical,hard,Line chart,Dot plot,84.53433006498179,83.82729007325946,0.7070399917223256,85.49217518277187,88.13819850160971,Line chart,85.49217518277187,0.16969769205441504,0.16969769205441504,0.0,1,False
profile_bidmc_06,profile,BIDMC,empirical,soft,Dot plot,Line chart,83.94574960723656,82.49552254204454,1.4502270651920242,88.70603638963355,86.60114315589828,Line chart,86.60114315589828,0.15471916831376292,0.1273189973313507,0.027400170982412236,1,True
profile_bidmc_07,profile,BIDMC,empirical,hard,Line chart,Dot plot,61.12975025825862,61.120443390966486,0.009306867292131926,61.662123620226524,68.13977049362178,Line chart,61.662123620226524,0.6217410969478486,0.6217410969478486,0.0,1,False
