key,dataset,candidate,family,setting,H,observer,task,loss,successful,winner,score
WDBC__00,WDBC,Histogram / 16,Histogram,16,384,alpha,median,0.0389723223239439,4,False,96.24895471356044
WDBC__00,WDBC,Histogram / 16,Histogram,16,384,alpha,spread,0.1560251746562178,4,False,86.50330649567238
WDBC__00,WDBC,Histogram / 16,Histogram,16,384,alpha,five,0.0661709436688949,4,False,93.79358966197407
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,threshold,median,0.0238238582372238,4,False,97.67305107753175
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,threshold,spread,0.1526651033032109,4,False,86.75546757980995
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,threshold,five,0.0637406747396079,4,False,94.0078746396333
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,alpha,median,0.0238238582372238,4,False,97.67305107753175
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,alpha,spread,0.1526651033032109,4,False,86.75546757980995
WDBC__00,WDBC,Heatmap / 16,Heatmap,16,384,alpha,five,0.0637406747396079,4,False,94.0078746396333
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,threshold,median,9.585262785678092e-05,4,True,99.9904156558989
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,threshold,spread,0.0101877229266741,4,True,98.99150200547295
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,threshold,five,0.0625755019248677,4,False,94.11095947426686
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,alpha,median,0.0018441741363737,4,True,99.81592205814208
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,alpha,spread,0.0087050596831118,4,True,99.13700644211634
WDBC__00,WDBC,Violin plot / 64,Violin plot,64,384,alpha,five,0.0608686158374541,4,False,94.26237943806038
WDBC__01,WDBC,Bar chart / means,Bar chart,means,256,threshold,median,0.0773949658651083,4,False,92.81647229500808
WDBC__01,WDBC,Bar chart / means,Bar chart,means,256,threshold,spread,0.0440471295859698,4,False,95.78111673910378
WDBC__01,WDBC,Bar chart / means,Bar chart,means,256,threshold,five,0.0669923066591847,4,False,93.72138803240846
WDBC__01,WDBC,Bar chart / means,Bar chart,means,256,alpha,median,0.0892698047130715,4,False,91.80461954175013
WDBC__01,WDBC,Bar chart / means,Bar chart,means,256,alpha,spread,0.0440471295859698,4,False,95.78111673910378
WDBC__01,WDBC,Bar chart / means,Bar chart,means,256,alpha,five,0.0741172099679626,4,False,93.09970929800359
WDBC__01,WDBC,Box plot / five,Box plot,five,256,threshold,median,0.0116999221161643,4,False,98.84353830020154
WDBC__01,WDBC,Box plot / five,Box plot,five,256,threshold,spread,0.0457732424889108,4,False,95.62302412901943
WDBC__01,WDBC,Box plot / five,Box plot,five,256,threshold,five,0.6079466769105262,4,False,62.19111705379299
WDBC__01,WDBC,Box plot / five,Box plot,five,256,alpha,median,0.0116999221161643,4,False,98.84353830020154
WDBC__01,WDBC,Box plot / five,Box plot,five,256,alpha,spread,0.0254757905988681,4,False,97.5157101871717
WDBC__01,WDBC,Box plot / five,Box plot,five,256,alpha,five,0.1746227847635011,4,False,85.13371381616271
WDBC__01,WDBC,Interval plot / five,Interval plot,five,256,threshold,median,0.0090103858126463,4,True,99.1070076245658
WDBC__01,WDBC,Interval plot / five,Interval plot,five,256,threshold,spread,0.0254757905988676,4,False,97.51571018717175
WDBC__01,WDBC,Interval plot / five,Interval plot,five,256,threshold,five,0.6058540180147367,4,False,62.27216102969723
WDBC__01,WDBC,Interval plot / five,Interval plot,five,256,alpha,median,0.0090103858126463,4,True,99.1070076245658
WDBC__01,WDBC,Interval plot / five,Interval plot,five,256,alpha,spread,0.0254757905988681,4,False,97.5157101871717
WDBC__01,WDBC,Interval plot / five,Interval plot,five,256,alpha,five,0.1740848775027976,4,False,85.172717847021
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,256,threshold,median,0.0221182292963574,4,False,97.83604003310029
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,256,threshold,spread,0.0165342390068938,4,False,98.37346954264451
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,256,threshold,five,0.0301653774404635,4,False,97.07179273337529
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,256,alpha,median,0.0326620048770086,4,False,96.83710597245236
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,256,alpha,spread,0.0197398870932556,4,False,98.06422330408947
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,256,alpha,five,0.0691989929190556,4,False,93.52795939976215
WDBC__01,WDBC,Histogram / 16,Histogram,16,256,threshold,median,0.0447304435469833,4,False,95.71847036493756
WDBC__01,WDBC,Histogram / 16,Histogram,16,256,threshold,spread,0.0198445730633195,4,False,98.05415711496978
WDBC__01,WDBC,Histogram / 16,Histogram,16,256,threshold,five,0.0298349874969265,4,True,97.10293514406203
WDBC__01,WDBC,Histogram / 16,Histogram,16,256,alpha,median,0.0538459298495782,4,False,94.89053111802937
WDBC__01,WDBC,Histogram / 16,Histogram,16,256,alpha,spread,0.0406749562151532,4,False,96.09148313099755
WDBC__01,WDBC,Histogram / 16,Histogram,16,256,alpha,five,0.0372353620407813,4,True,96.4101337648651
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,256,threshold,median,0.0586246530786483,4,False,94.46218705485853
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,256,threshold,spread,0.0580551031545418,4,False,94.51303594855757
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,256,threshold,five,0.0512317545236778,4,False,95.12650238130493
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,256,alpha,median,0.0586246530786483,4,False,94.46218705485853
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,256,alpha,spread,0.0580551031545418,4,False,94.51303594855757
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,256,alpha,five,0.0512317545236778,4,False,95.12650238130493
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,256,threshold,median,0.0291389627030229,4,False,97.16860756816652
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,256,threshold,spread,0.0020772058575913,4,True,99.79270999824674
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,256,threshold,five,0.054551306216798,4,False,94.82706001166498
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,256,alpha,median,0.0319494464460545,4,False,96.90397174434409
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,256,alpha,spread,0.0063098020346233,4,True,99.37297619263315
WDBC__01,WDBC,Violin plot / 64,Violin plot,64,256,alpha,five,0.0617747508220417,4,False,94.18193446640026
WDBC__01,WDBC,Bar chart / means,Bar chart,means,384,threshold,median,0.0880726138755371,4,False,91.90563086025695
WDBC__01,WDBC,Bar chart / means,Bar chart,means,384,threshold,spread,0.0440471295859698,4,False,95.78111673910378
WDBC__01,WDBC,Bar chart / means,Bar chart,means,384,threshold,five,0.073398895465442,4,False,93.16201127320751
WDBC__01,WDBC,Bar chart / means,Bar chart,means,384,alpha,median,0.0958058195558188,4,False,91.25704409977916
WDBC__01,WDBC,Bar chart / means,Bar chart,means,384,alpha,spread,0.0440471295859698,4,False,95.78111673910378
WDBC__01,WDBC,Bar chart / means,Bar chart,means,384,alpha,five,0.078038818873611,4,False,92.76103814562542
WDBC__01,WDBC,Box plot / five,Box plot,five,384,threshold,median,0.0092368813765038,4,False,99.08476577234221
WDBC__01,WDBC,Box plot / five,Box plot,five,384,threshold,spread,0.0220235647929849,4,False,97.84510205521084
WDBC__01,WDBC,Box plot / five,Box plot,five,384,threshold,five,0.6090239298061288,4,False,62.14947966128073
WDBC__01,WDBC,Box plot / five,Box plot,five,384,alpha,median,0.0092368813765038,4,False,99.08476577234221
WDBC__01,WDBC,Box plot / five,Box plot,five,384,alpha,spread,0.0154664113605619,4,False,98.4769155151238
WDBC__01,WDBC,Box plot / five,Box plot,five,384,alpha,five,0.1675384317980404,4,False,85.65028548653197
WDBC__01,WDBC,Interval plot / five,Interval plot,five,384,threshold,median,0.006724526678505,4,True,99.33203905335542
WDBC__01,WDBC,Interval plot / five,Interval plot,five,384,threshold,spread,0.0154664113605624,4,False,98.47691551512374
WDBC__01,WDBC,Interval plot / five,Interval plot,five,384,threshold,five,0.6059727152711996,4,False,62.267558501523524
WDBC__01,WDBC,Interval plot / five,Interval plot,five,384,alpha,median,0.006724526678505,4,True,99.33203905335542
WDBC__01,WDBC,Interval plot / five,Interval plot,five,384,alpha,spread,0.0154664113605628,4,False,98.47691551512372
WDBC__01,WDBC,Interval plot / five,Interval plot,five,384,alpha,five,0.1670359608584407,4,False,85.68716248164509
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,384,threshold,median,0.0103903918409502,4,False,98.97164581879893
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,384,threshold,spread,0.0231615152568855,4,False,97.73627966733382
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,384,threshold,five,0.0173512525476246,4,True,98.29446786405637
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,384,alpha,median,0.0187907740022495,4,False,98.15558066663371
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,384,alpha,spread,0.0111617196622993,4,False,98.89614891018353
WDBC__01,WDBC,Dot plot / raw,Dot plot,raw,384,alpha,five,0.0341108294490814,4,True,96.70143388139026
WDBC__01,WDBC,Histogram / 16,Histogram,16,384,threshold,median,0.0512772868875264,4,False,95.1223823127254
WDBC__01,WDBC,Histogram / 16,Histogram,16,384,threshold,spread,0.039522052444499,4,False,96.19805540906414
WDBC__01,WDBC,Histogram / 16,Histogram,16,384,threshold,five,0.0331825547058843,4,False,96.78831639628967
WDBC__01,WDBC,Histogram / 16,Histogram,16,384,alpha,median,0.0556255130318949,4,False,94.73056378941324
WDBC__01,WDBC,Histogram / 16,Histogram,16,384,alpha,spread,0.0491706337446989,4,False,95.31338066819511
WDBC__01,WDBC,Histogram / 16,Histogram,16,384,alpha,five,0.0399788100259694,4,False,96.15580532597859
WDBC__01,WDBC,Heatmap / 16,Heatmap,16,384,threshold,median,0.0586246530786483,4,False,94.46218705485853
